source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
BEL_LE,20-05-2020,Belgium,BEL,,,,,55983,14847,9150,1527,313,,['BEL']
BEL_LE,19-05-2020,Belgium,BEL,,,,,55791,14687,9108,1630,345,,['BEL']
BEL_LE,18-05-2020,Belgium,BEL,,,,,55559,14657,9080,1614,342,,['BEL']
BEL_LE,17-05-2020,Belgium,BEL,,,,,55280,14630,9052,1622,371,,['BEL']
BEL_LE,16-05-2020,Belgium,BEL,,,,,54989,14460,9005,1750,364,,['BEL']
BEL_LE,15-05-2020,Belgium,BEL,,,,,54644,14301,8959,1862,380,,['BEL']
BEL_LE,14-05-2020,Belgium,BEL,,,,,54288,14111,8903,1966,407,,['BEL']
BEL_LE,13-05-2020,Belgium,BEL,,,,,53981,13937,8843,2014,420,,['BEL']
BEL_LE,12-05-2020,Belgium,BEL,,,,,53779,13732,8761,2230,465,,['BEL']
BEL_LE,11-05-2020,Belgium,BEL,,,,,53449,13697,8707,2222,478,,['BEL']
BEL_LE,10-05-2020,Belgium,BEL,,,,,53801,13642,8656,2222,476,,['BEL']
BEL_LE,09-05-2020,Belgium,BEL,,,,,52596,13411,8581,2381,502,,['BEL']
BEL_LE,08-05-2020,Belgium,BEL,,,,,52011,13201,8521,2555,508,,['BEL']
BEL_LE,07-05-2020,Belgium,BEL,,,,,51420,12980,8415,2688,538,,['BEL']
BEL_LE,06-05-2020,Belgium,BEL,,,,,50781,12731,8339,2849,646,,['BEL']
BEL_LE,05-05-2020,Belgium,BEL,,,,,50509,12441,8016,3082,646,,['BEL']
BEL_LE,04-05-2020,Belgium,BEL,,,,,50267,12378,7924,3044,655,,['BEL']
BEL_LE,03-05-2020,Belgium,BEL,,,,,49906,12309,7844,3056,674,,['BEL']
BEL_LE,02-05-2020,Belgium,BEL,,,,,49517,12211,7765,3111,689,,['BEL']
BEL_LE,01-05-2020,Belgium,BEL,,,,,49032,11892,7703,3386,740,,['BEL']
BEL_LE,30-04-2020,Belgium,BEL,,,,,48519,11576,7594,3609,769,,['BEL']
BEL_LE,29-04-2020,Belgium,BEL,,,,,47859,11282,7501,4050,797,,['BEL']
BEL_LE,28-04-2020,Belgium,BEL,,,,,47334,10943,7331,3976,876,,['BEL']
BEL_LE,27-04-2020,Belgium,BEL,,,,,46687,10878,7207,3968,903,,['BEL']
BEL_LE,26-04-2020,Belgium,BEL,,,,,46134,10785,7094,3959,891,,['BEL']
BEL_LE,25-04-2020,Belgium,BEL,,,,,45325,10417,6917,4195,934,,['BEL']
BEL_LE,24-04-2020,Belgium,BEL,,,,,44293,10122,6679,4355,970,,['BEL']
BEL_LE,23-04-2020,Belgium,BEL,,,,,42797,9800,6490,4527,993,,['BEL']
BEL_LE,22-04-2020,Belgium,BEL,,,,,41889,9433,6262,4765,1020,,['BEL']
BEL_LE,21-04-2020,Belgium,BEL,,,,,40956,9002,5998,4976,1079,,['BEL']
BEL_LE,20-04-2020,Belgium,BEL,,,,,39983,8895,5828,4920,1071,,['BEL']
BEL_LE,19-04-2020,Belgium,BEL,,,,,38496,8757,5683,4871,1081,,['BEL']
BEL_LE,18-04-2020,Belgium,BEL,,,,,37183,8348,5453,5069,1119,,['BEL']
BEL_LE,17-04-2020,Belgium,BEL,,,,,36138,7961,5163,5161,1140,,['BEL']
BEL_LE,16-04-2020,Belgium,BEL,,,,,34809,7562,4857,5309,1182,,['BEL']
BEL_LE,15-04-2020,Belgium,BEL,,,,,33573,7107,4440,5524,1204,,['BEL']
BEL_LE,14-04-2020,Belgium,BEL,,,,,31119,6868,4151,5536,1223,,['BEL']
BEL_LE,13-04-2020,Belgium,BEL,,,,,30589,6707,3903,5393,1234,,['BEL']
BEL_LE,12-04-2020,Belgium,BEL,,,,,29647,6463,3600,5323,1223,,['BEL']
BEL_LE,11-04-2020,Belgium,BEL,,,,,28018,5986,3346,5635,1262,,['BEL']
BEL_LE,10-04-2020,Belgium,BEL,,,,,26667,5568,3019,5610,1278,,['BEL']
BEL_LE,09-04-2020,Belgium,BEL,,,,,24983,5164,2523,5590,1285,,['BEL']
BEL_LE,08-04-2020,Belgium,BEL,,,,,23403,4681,2240,5688,1276,,['BEL']
BEL_LE,07-04-2020,Belgium,BEL,,,,,22194,4157,2035,6012,1260,,['BEL']
BEL_LE,06-04-2020,Belgium,BEL,,,,,20814,3952,1632,5840,1257,,['BEL']
BEL_LE,05-04-2020,Belgium,BEL,,,,,19691,3717,1447,5735,1261,,['BEL']
BEL_LE,04-04-2020,Belgium,BEL,,,,71630,18431,3213,1283,5678,1245,,['BEL']
BEL_LE,03-04-2020,Belgium,BEL,,,,67788,16770,2838,1143,5552,1205,,['BEL']
BEL_LE,02-04-2020,Belgium,BEL,,,,63482,15348,2461,1011,5376,1144,,['BEL']
BEL_LE,01-04-2020,Belgium,BEL,,,,59058,13964,2098,828,4995,1088,,['BEL']
BEL_LE,31-03-2020,Belgium,BEL,,,,54080,12775,1662,705,4920,1021,,['BEL']
BEL_LE,30-03-2020,Belgium,BEL,,,,50746,11899,1494,513,4524,927,,['BEL']
BEL_LE,29-03-2020,Belgium,BEL,,,,48712,10836,1326,431,4138,867,,['BEL']
BEL_LE,28-03-2020,Belgium,BEL,,,,45375,9134,1030,353,3717,789,,['BEL']
BEL_LE,27-03-2020,Belgium,BEL,,,,41403,7284,825,289,3042,690,,['BEL']
BEL_LE,26-03-2020,Belgium,BEL,,,,37655,6235,642,220,2652,605,,['BEL']
