source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,Limburg,,,,,,1980,,,['BEL.2.2_1']
BEL_SCI,17-07-2020,Belgium,BEL,Brussels,,,,,,,2699,,,['BEL.1_1']
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,,,,,,,9868,,,['BEL.2_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,,,,,,,5379,,,['BEL.3_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,Luxembourg,,,,,,403,,,['BEL.3.4_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,Liège,,,,,,1740,,,['BEL.3.3_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,Hainaut,,,,,,2382,,,['BEL.3.2_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,BrabantWallon,,,,,,232,,,['BEL.3.1_1']
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,WestVlaanderen,,,,,,2194,,,['BEL.2.5_1']
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,VlaamsBrabant,,,,,,997,,,['BEL.2.4_1']
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,OostVlaanderen,,,,,,2060,,,['BEL.2.3_1']
BEL_SCI,17-07-2020,Belgium,BEL,Flanders,Antwerpen,,,,,,2637,,,['BEL.2.1_1']
BEL_SCI,17-07-2020,Belgium,BEL,Brussels,Brussels,,,,,,2699,,,['BEL.1.1_1']
BEL_SCI,17-07-2020,Belgium,BEL,Wallonia,Namur,,,,,,622,,,['BEL.3.5_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,Antwerpen,,,9066,,,2637,,,['BEL.2.1_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,Namur,,,2370,,,622,,,['BEL.3.5_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,Luxembourg,,,1521,,,403,,,['BEL.3.4_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,Limburg,,,6757,,,1980,,,['BEL.2.2_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,Liège,,,7130,,,1738,,,['BEL.3.3_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,Hainaut,,,7046,,,2382,,,['BEL.3.2_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,BrabantWallon,,,1559,,,232,,,['BEL.3.1_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,WestVlaanderen,,,7261,,,2191,,,['BEL.2.5_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,VlaamsBrabant,,,5638,,,997,,,['BEL.2.4_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,OostVlaanderen,,,7011,,,2060,,,['BEL.2.3_1']
BEL_SCI,16-07-2020,Belgium,BEL,Brussels,Brussels,,,6579,,,2696,,,['BEL.1.1_1']
BEL_SCI,16-07-2020,Belgium,BEL,Wallonia,,,,19626,,3394,5377,,,['BEL.3_1']
BEL_SCI,16-07-2020,Belgium,BEL,Flanders,,,,35733,,4911,9865,,,['BEL.2_1']
BEL_SCI,16-07-2020,Belgium,BEL,Brussels,,,,6579,,1495,2696,,,['BEL.1_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,,,,35710,,4910,9855,,,['BEL.2_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,Luxembourg,,,1517,,,403,,,['BEL.3.4_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,BrabantWallon,,,1559,,,232,,,['BEL.3.1_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,Hainaut,,,7042,,,2381,,,['BEL.3.2_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,Namur,,,2370,,,622,,,['BEL.3.5_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,WestVlaanderen,,,7248,,,2182,,,['BEL.2.5_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,VlaamsBrabant,,,5636,,,997,,,['BEL.2.4_1']
BEL_SCI,15-07-2020,Belgium,BEL,Brussels,,,,6577,,1494,2695,,,['BEL.1_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,Antwerpen,,,9063,,,2636,,,['BEL.2.1_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,Liège,,,7127,,,1738,,,['BEL.3.3_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,OostVlaanderen,,,7008,,,2060,,,['BEL.2.3_1']
BEL_SCI,15-07-2020,Belgium,BEL,Brussels,Brussels,,,6577,,,2695,,,['BEL.1.1_1']
BEL_SCI,15-07-2020,Belgium,BEL,Flanders,Limburg,,,6755,,,1980,,,['BEL.2.2_1']
BEL_SCI,15-07-2020,Belgium,BEL,Wallonia,,,,19615,,3391,5376,,,['BEL.3_1']
BEL_SCI,14-07-2020,Belgium,BEL,Wallonia,Luxembourg,,,1502,,,403,,,['BEL.3.4_1']
BEL_SCI,14-07-2020,Belgium,BEL,Brussels,,,,6563,,1491,2693,,,['BEL.1_1']
BEL_SCI,14-07-2020,Belgium,BEL,Flanders,,,,35567,,4909,9851,,,['BEL.2_1']
BEL_SCI,14-07-2020,Belgium,BEL,Wallonia,,,,19573,,3390,5373,,,['BEL.3_1']
BEL_SCI,14-07-2020,Belgium,BEL,Brussels,Brussels,,,6563,,,2693,,,['BEL.1.1_1']
BEL_SCI,14-07-2020,Belgium,BEL,Flanders,Antwerpen,,,9003,,,2636,,,['BEL.2.1_1']
