source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
BRA_MSHM,12-07-2020,Brazil,BRA,Sergipe,,,,37631,,984,,,,['BRA.26_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Mato Grosso do Sul,,,,13197,,161,,,,['BRA.11_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Mato Grosso,,,,28411,,1047,,,,['BRA.12_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Goiás,,,,36244,,849,,,,['BRA.9_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Distrito Federal,,,,70712,,902,,,,['BRA.7_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Santa Catarina,,,,43031,,497,,,,['BRA.24_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Rio Grande do Sul,,,,39240,,962,,,,['BRA.21_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Pará,,,,125714,,5289,,,,['BRA.14_1']
BRA_MSHM,12-07-2020,Brazil,BRA,,,,,1864681,,72100,,,,['BRA']
BRA_MSHM,12-07-2020,Brazil,BRA,Paraná,,,,42537,,1045,,,,['BRA.16_1']
BRA_MSHM,12-07-2020,Brazil,BRA,São Paulo,,,,371997,,17848,,,,['BRA.25_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Rio de Janeiro,,,,129684,,11415,,,,['BRA.19_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Minas Gerais,,,,75851,,1576,,,,['BRA.13_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Espírito Santo,,,,62799,,2003,,,,['BRA.8_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Rio Grande do Norte,,,,39421,,1394,,,,['BRA.20_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Piauí,,,,32963,,936,,,,['BRA.18_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Pernambuco,,,,72470,,5595,,,,['BRA.17_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Paraíba,,,,60784,,1284,,,,['BRA.15_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Maranhão,,,,98952,,2463,,,,['BRA.10_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Amazonas,,,,83526,,3039,,,,['BRA.4_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Amapá,,,,31364,,474,,,,['BRA.3_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Acre,,,,16190,,426,,,,['BRA.1_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Ceará,,,,136785,,6868,,,,['BRA.6_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Bahia,,,,105763,,2483,,,,['BRA.5_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Alagoas,,,,45330,,1281,,,,['BRA.2_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Tocantins,,,,15132,,255,,,,['BRA.27_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Rondônia,,,,26728,,628,,,,['BRA.22_1']
BRA_MSHM,12-07-2020,Brazil,BRA,Roraima,,,,22225,,396,,,,['BRA.23_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Santa Catarina,,,,42026,,485,,,,['BRA.24_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Distrito Federal,,,,68406,,871,,,,['BRA.7_1']
BRA_MSHM,11-07-2020,Brazil,BRA,,,,,1839850,,71469,,,,['BRA']
BRA_MSHM,11-07-2020,Brazil,BRA,Mato Grosso,,,,27636,,1029,,,,['BRA.12_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Acre,,,,16080,,419,,,,['BRA.1_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Amapá,,,,31279,,473,,,,['BRA.3_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Amazonas,,,,83230,,3023,,,,['BRA.4_1']
BRA_MSHM,11-07-2020,Brazil,BRA,Pará,,,,124934,,5274,,,,['BRA.14_1']
