source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
CAN_GOV,30-01-2021,Canada,CAN,,,,17433226,775048,700920,19942,,,,['CAN']
CAN_GOV,30-01-2021,Canada,CAN,British Columbia,,,1044931,66779,59551,1189,,,,['CAN.2_1']
CAN_GOV,30-01-2021,Canada,CAN,Saskatchewan,,,335890,23626,20803,300,,,,['CAN.12_1']
CAN_GOV,30-01-2021,Canada,CAN,Northwest Territories,,,9064,31,31,0,,,,['CAN.6_1']
CAN_GOV,30-01-2021,Canada,CAN,Yukon,,,6273,70,69,1,,,,['CAN.13_1']
CAN_GOV,30-01-2021,Canada,CAN,Newfoundland and Labrador,,,79795,408,388,4,,,,['CAN.5_1']
CAN_GOV,30-01-2021,Canada,CAN,Québec,,,2695925,261360,237088,9763,,,,['CAN.11_1']
CAN_GOV,30-01-2021,Canada,CAN,Nova Scotia,,,203766,1580,1504,65,,,,['CAN.7_1']
CAN_GOV,30-01-2021,Canada,CAN,Ontario,,,9248077,266363,240494,6145,,,,['CAN.9_1']
CAN_GOV,30-01-2021,Canada,CAN,Prince Edward Island,,,90603,111,105,0,,,,['CAN.10_1']
CAN_GOV,30-01-2021,Canada,CAN,Nunavut,,,7530,284,265,1,,,,['CAN.8_1']
CAN_GOV,30-01-2021,Canada,CAN,Manitoba,,,452461,29446,25095,825,,,,['CAN.3_1']
CAN_GOV,30-01-2021,Canada,CAN,New Brunswick,,,140624,1230,928,18,,,,['CAN.4_1']
CAN_GOV,30-01-2021,Canada,CAN,Alberta,,,3118211,123747,114586,1631,,,,['CAN.1_1']
CAN_GOV,29-01-2021,Canada,CAN,Yukon,,,6273,70,69,1,,,,['CAN.13_1']
CAN_GOV,29-01-2021,Canada,CAN,Nunavut,,,7530,283,264,1,,,,['CAN.8_1']
CAN_GOV,29-01-2021,Canada,CAN,Northwest Territories,,,9064,31,31,0,,,,['CAN.6_1']
CAN_GOV,29-01-2021,Canada,CAN,British Columbia,,,1044931,66779,59551,1189,,,,['CAN.2_1']
CAN_GOV,29-01-2021,Canada,CAN,Ontario,,,9190431,264300,237871,6072,,,,['CAN.9_1']
CAN_GOV,29-01-2021,Canada,CAN,Manitoba,,,452461,29280,24967,823,,,,['CAN.3_1']
CAN_GOV,29-01-2021,Canada,CAN,Saskatchewan,,,333534,23366,20575,292,,,,['CAN.12_1']
CAN_GOV,29-01-2021,Canada,CAN,Québec,,,2695925,259993,235516,9717,,,,['CAN.11_1']
CAN_GOV,29-01-2021,Canada,CAN,Alberta,,,3118211,123364,113939,1620,,,,['CAN.1_1']
CAN_GOV,29-01-2021,Canada,CAN,Newfoundland and Labrador,,,79289,408,388,4,,,,['CAN.5_1']
CAN_GOV,29-01-2021,Canada,CAN,New Brunswick,,,138569,1218,887,17,,,,['CAN.4_1']
CAN_GOV,29-01-2021,Canada,CAN,Nova Scotia,,,203766,1577,1503,65,,,,['CAN.7_1']
