source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
CHE_OPGOV,25-02-2020,Switzerland,CHE,Genève,,,73,,,,,,,['CHE.8_1']
CHE_OPGOV,25-02-2020,Switzerland,CHE,Ticino,,,,,,,,,,['CHE.21_1']
CHE_OPGOV,26-02-2020,Switzerland,CHE,Genève,,,178,1,,,1,,,['CHE.8_1']
CHE_OPGOV,26-02-2020,Switzerland,CHE,Ticino,,,,1,,,,,,['CHE.21_1']
CHE_OPGOV,27-02-2020,Switzerland,CHE,Basel-Stadt,,,,1,,,,,,['CHE.5_1']
CHE_OPGOV,27-02-2020,Switzerland,CHE,Genève,,,329,1,,,1,,,['CHE.8_1']
CHE_OPGOV,27-02-2020,Switzerland,CHE,Jura,,,,1,,,1,,,['CHE.11_1']
CHE_OPGOV,27-02-2020,Switzerland,CHE,Ticino,,,,1,,,,,,['CHE.21_1']
CHE_OPGOV,27-02-2020,Switzerland,CHE,Zürich,,,,2,,,,,,['CHE.26_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Aargau,,,,1,,,,,,['CHE.1_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Basel-Landschaft,,,,1,,,,,,['CHE.4_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Basel-Stadt,,,,1,,,,,,['CHE.5_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Bern,,,,1,,,,,,['CHE.6_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Genève,,,540,4,,,2,,,['CHE.8_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Jura,,,,1,,,1,,,['CHE.11_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Ticino,,,,1,,,,,,['CHE.21_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Valais,,,,1,,,6,,,['CHE.23_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Vaud,,,,,,,4,,,['CHE.24_1']
CHE_OPGOV,28-02-2020,Switzerland,CHE,Zürich,,,,2,,,,,,['CHE.26_1']
