source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
CHN_ICL,31-05-2020,China,CHN,,,,,83017,78307,4634,,,,['CHN']
CHN_ICL,30-05-2020,China,CHN,,,,,83001,78304,4634,,,,['CHN']
CHN_ICL,29-05-2020,China,CHN,,,,,82999,78302,4634,,,,['CHN']
CHN_ICL,28-05-2020,China,CHN,,,,,82995,78291,4634,,,,['CHN']
CHN_ICL,27-05-2020,China,CHN,,,,,82995,78288,4634,,,,['CHN']
CHN_ICL,26-05-2020,China,CHN,,,,,82993,78280,4634,,,,['CHN']
CHN_ICL,25-05-2020,China,CHN,,,,,82992,78277,4634,,,,['CHN']
CHN_ICL,24-05-2020,China,CHN,,,,,82985,78268,4634,,,,['CHN']
CHN_ICL,23-05-2020,China,CHN,,,,,82974,78261,4634,,,,['CHN']
CHN_ICL,22-05-2020,China,CHN,,,,,82971,78258,4634,,,,['CHN']
CHN_ICL,21-05-2020,China,CHN,,,,,82971,78255,4634,,,,['CHN']
CHN_ICL,20-05-2020,China,CHN,,,,,82967,78249,4634,,,,['CHN']
CHN_ICL,19-05-2020,China,CHN,,,,,82965,78244,4634,,,,['CHN']
CHN_ICL,18-05-2020,China,CHN,,,,,82960,78241,4634,,,,['CHN']
CHN_ICL,17-05-2020,China,CHN,,,,,82954,78238,4634,,,,['CHN']
CHN_ICL,16-05-2020,China,CHN,,,,,82947,78227,4634,,,,['CHN']
CHN_ICL,15-05-2020,China,CHN,,,,,82942,78219,4634,,,,['CHN']
CHN_ICL,14-05-2020,China,CHN,,,,,82933,78209,4633,,,,['CHN']
CHN_ICL,13-05-2020,China,CHN,,,,,82929,78195,4633,,,,['CHN']
CHN_ICL,12-05-2020,China,CHN,,,,,82926,78189,4633,,,,['CHN']
CHN_ICL,11-05-2020,China,CHN,,,,,82919,78171,4633,,,,['CHN']
CHN_ICL,10-05-2020,China,CHN,,,,,82918,78144,4633,,,,['CHN']
CHN_ICL,09-05-2020,China,CHN,,,,,82901,78120,4633,,,,['CHN']
CHN_ICL,08-05-2020,China,CHN,,,,,82887,78046,4633,,,,['CHN']
CHN_ICL,07-05-2020,China,CHN,,,,,82886,77993,4633,,,,['CHN']
CHN_ICL,06-05-2020,China,CHN,,,,,82885,77957,4633,,,,['CHN']
CHN_ICL,05-05-2020,China,CHN,,,,,82883,77911,4633,,,,['CHN']
CHN_ICL,04-05-2020,China,CHN,,,,,82881,77853,4633,,,,['CHN']
CHN_ICL,03-05-2020,China,CHN,,,,,82880,77766,4633,,,,['CHN']
CHN_ICL,02-05-2020,China,CHN,,,,,82877,77713,4633,,,,['CHN']
CHN_ICL,01-05-2020,China,CHN,,,,,82875,77685,4633,,,,['CHN']
CHN_ICL,30-04-2020,China,CHN,,,,,82874,77642,4633,,,,['CHN']
CHN_ICL,29-04-2020,China,CHN,,,,,82862,77610,4633,,,,['CHN']
CHN_ICL,28-04-2020,China,CHN,,,,,82858,77578,4633,,,,['CHN']
CHN_ICL,27-04-2020,China,CHN,,,,,82836,77555,4633,,,,['CHN']
CHN_ICL,26-04-2020,China,CHN,,,,,82830,77474,4633,,,,['CHN']
CHN_ICL,25-04-2020,China,CHN,,,,,82827,77394,4633,,,,['CHN']
CHN_ICL,24-04-2020,China,CHN,,,,,82816,77346,4632,,,,['CHN']
CHN_ICL,23-04-2020,China,CHN,,,,,82804,77257,4632,,,,['CHN']
CHN_ICL,22-04-2020,China,CHN,,,,,82798,77207,4632,,,,['CHN']
CHN_ICL,21-04-2020,China,CHN,,,,,82788,77151,4632,,,,['CHN']
CHN_ICL,20-04-2020,China,CHN,,,,,82758,77123,4632,,,,['CHN']
CHN_ICL,19-04-2020,China,CHN,,,,,82747,77084,4632,,,,['CHN']
CHN_ICL,18-04-2020,China,CHN,,,,,82735,77062,4632,,,,['CHN']
CHN_ICL,17-04-2020,China,CHN,,,,,82719,77029,4632,,,,['CHN']
CHN_ICL,16-04-2020,China,CHN,,,,,82367,77944,3342,,,,['CHN']
CHN_ICL,15-04-2020,China,CHN,,,,,82341,77892,3342,,,,['CHN']
CHN_ICL,14-04-2020,China,CHN,,,,,82295,77816,3342,,,,['CHN']
CHN_ICL,13-04-2020,China,CHN,,,,,82249,77738,3341,,,,['CHN']
CHN_ICL,12-04-2020,China,CHN,,,,,82160,77663,3341,,,,['CHN']
CHN_ICL,11-04-2020,China,CHN,,,,,82052,77575,3339,,,,['CHN']
CHN_ICL,10-04-2020,China,CHN,,,,,81953,77525,3339,,,,['CHN']
CHN_ICL,09-04-2020,China,CHN,,,,,81907,77455,3336,,,,['CHN']
CHN_ICL,08-04-2020,China,CHN,,,,,81865,77370,3335,,,,['CHN']
CHN_ICL,07-04-2020,China,CHN,,,,,81802,77279,3333,,,,['CHN']
CHN_ICL,06-04-2020,China,CHN,,,,,81740,77167,3331,,,,['CHN']
CHN_ICL,05-04-2020,China,CHN,,,,,81708,77078,3331,,,,['CHN']
CHN_ICL,04-04-2020,China,CHN,,,,,81669,76964,3330,,,,['CHN']
CHN_ICL,03-04-2020,China,CHN,,,,,81639,76751,3326,,,,['CHN']
CHN_ICL,02-04-2020,China,CHN,,,,,81620,76571,3322,,,,['CHN']
CHN_ICL,01-04-2020,China,CHN,Shanxi,,,,137,133,,,,,['CHN.25_1']
CHN_ICL,01-04-2020,China,CHN,Beijing,,,,580,418,8,,,,['CHN.2_1']
CHN_ICL,01-04-2020,China,CHN,,,,,81589,76408,3318,,,,['CHN']
CHN_ICL,31-03-2020,China,CHN,Shaanxi,,,,257,,,,,,['CHN.22_1']
CHN_ICL,31-03-2020,China,CHN,Xizang,,,,1,1,0,,,,['CHN.29_1']
CHN_ICL,31-03-2020,China,CHN,Hunan,,,,1018,1014,4,,,,['CHN.14_1']
CHN_ICL,31-03-2020,China,CHN,Guangxi,,,,255,250,2,,,,['CHN.7_1']
CHN_ICL,31-03-2020,China,CHN,Shandong,,,,759,752,7,,,,['CHN.23_1']
CHN_ICL,31-03-2020,China,CHN,Guangdong,,,,1501,1357,8,,,,['CHN.6_1']
CHN_ICL,31-03-2020,China,CHN,Heilongjiang,,,,484,469,13,,,,['CHN.11_1']
CHN_ICL,31-03-2020,China,CHN,Gansu,,,,137,127,2,,,,['CHN.5_1']
CHN_ICL,31-03-2020,China,CHN,Chongqing,,,,579,570,6,,,,['CHN.3_1']
CHN_ICL,31-03-2020,China,CHN,,,,,81554,76238,3312,,,,['CHN']
CHN_ICL,31-03-2020,China,CHN,Ningxia Hui,,,,75,75,,,,,['CHN.20_1']
CHN_ICL,31-03-2020,China,CHN,Zhejiang,,,,1257,1226,1,,,,['CHN.31_1']
CHN_ICL,31-03-2020,China,CHN,Jiangxi,,,,937,934,1,,,,['CHN.16_1']
CHN_ICL,31-03-2020,China,CHN,Jiangsu,,,,646,631,,,,,['CHN.15_1']
CHN_ICL,31-03-2020,China,CHN,Jilin,,,,98,92,1,,,,['CHN.17_1']
CHN_ICL,31-03-2020,China,CHN,Xinjiang Uygur,,,,76,73,3,,,,['CHN.28_1']
CHN_ICL,31-03-2020,China,CHN,Shanxi,,,,137,133,,,,,['CHN.25_1']
CHN_ICL,31-03-2020,China,CHN,Shanghai,,,,516,341,6,,,,['CHN.24_1']
CHN_ICL,31-03-2020,China,CHN,Beijing,,,,580,418,8,,,,['CHN.2_1']
CHN_ICL,31-03-2020,China,CHN,Nei Mongol,,,,111,74,1,,,,['CHN.19_1']
CHN_ICL,31-03-2020,China,CHN,Hubei,,,,67802,63326,3193,,,,['CHN.13_1']
CHN_ICL,31-03-2020,China,CHN,Anhui,,,,990,984,6,,,,['CHN.1_1']
CHN_ICL,31-03-2020,China,CHN,Qinghai,,,,18,18,0,,,,['CHN.21_1']
CHN_ICL,31-03-2020,China,CHN,Tianjin,,,,174,133,3,,,,['CHN.27_1']
CHN_ICL,31-03-2020,China,CHN,Guizhou,,,,147,144,2,,,,['CHN.8_1']
CHN_ICL,31-03-2020,China,CHN,Sichuan,,,,552,536,3,,,,['CHN.26_1']
CHN_ICL,31-03-2020,China,CHN,Henan,,,,1273,1250,22,,,,['CHN.12_1']
CHN_ICL,30-03-2020,China,CHN,Shanxi,,,,136,133,,,,,['CHN.25_1']
CHN_ICL,30-03-2020,China,CHN,Jilin,,,,98,92,1,,,,['CHN.17_1']
CHN_ICL,30-03-2020,China,CHN,Guizhou,,,,147,144,2,,,,['CHN.8_1']
CHN_ICL,30-03-2020,China,CHN,Shaanxi,,,,255,,,,,,['CHN.22_1']
CHN_ICL,30-03-2020,China,CHN,Shanghai,,,,509,338,5,,,,['CHN.24_1']
CHN_ICL,30-03-2020,China,CHN,Jiangsu,,,,646,631,,,,,['CHN.15_1']
CHN_ICL,30-03-2020,China,CHN,Qinghai,,,,18,18,0,,,,['CHN.21_1']
CHN_ICL,30-03-2020,China,CHN,Sichuan,,,,550,536,3,,,,['CHN.26_1']
CHN_ICL,30-03-2020,China,CHN,Xizang,,,,1,1,0,,,,['CHN.29_1']
CHN_ICL,30-03-2020,China,CHN,,,,,81518,76052,3305,,,,['CHN']
CHN_ICL,30-03-2020,China,CHN,Hunan,,,,1018,1014,4,,,,['CHN.14_1']
CHN_ICL,30-03-2020,China,CHN,Guangxi,,,,255,250,2,,,,['CHN.7_1']
CHN_ICL,30-03-2020,China,CHN,Ningxia Hui,,,,75,75,,,,,['CHN.20_1']
CHN_ICL,30-03-2020,China,CHN,Gansu,,,,137,125,2,,,,['CHN.5_1']
CHN_ICL,30-03-2020,China,CHN,Liaoning,,,,139,124,2,,,,['CHN.18_1']
CHN_ICL,30-03-2020,China,CHN,Beijing,,,,577,415,8,,,,['CHN.2_1']
CHN_ICL,30-03-2020,China,CHN,Nei Mongol,,,,107,74,1,,,,['CHN.19_1']
CHN_ICL,30-03-2020,China,CHN,Heilongjiang,,,,484,469,13,,,,['CHN.11_1']
CHN_ICL,30-03-2020,China,CHN,Anhui,,,,990,984,6,,,,['CHN.1_1']
CHN_ICL,30-03-2020,China,CHN,Hainan,,,,168,162,6,,,,['CHN.9_1']
CHN_ICL,30-03-2020,China,CHN,Tianjin,,,,174,133,3,,,,['CHN.27_1']
CHN_ICL,30-03-2020,China,CHN,Guangdong,,,,1490,1353,8,,,,['CHN.6_1']
CHN_ICL,30-03-2020,China,CHN,Yunnan,,,,181,,,,,,['CHN.30_1']
CHN_ICL,30-03-2020,China,CHN,Zhejiang,,,,1257,1226,1,,,,['CHN.31_1']
CHN_ICL,30-03-2020,China,CHN,Shandong,,,,759,752,7,,,,['CHN.23_1']
CHN_ICL,30-03-2020,China,CHN,Fujian,,,,343,295,1,,,,['CHN.4_1']
CHN_ICL,30-03-2020,China,CHN,Hebei,,,,321,310,6,,,,['CHN.10_1']
CHN_ICL,30-03-2020,China,CHN,Hubei,,,,67801,63153,3187,,,,['CHN.13_1']
CHN_ICL,30-03-2020,China,CHN,Jiangxi,,,,937,934,1,,,,['CHN.16_1']
CHN_ICL,30-03-2020,China,CHN,Xinjiang Uygur,,,,76,73,3,,,,['CHN.28_1']
