source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
ESP_MS,26-06-2020,Spain,ESP,Cantabria,,,,2351,,216,1055,80,,['ESP.3_1']
ESP_MS,26-06-2020,Spain,ESP,Islas Canarias,,,,2426,,162,953,185,,['ESP.14_1']
ESP_MS,26-06-2020,Spain,ESP,Islas Baleares,,,,2194,,224,1171,169,,['ESP.13_1']
ESP_MS,26-06-2020,Spain,ESP,Principado de Asturias,,,,2435,,334,1117,129,,['ESP.17_1']
ESP_MS,26-06-2020,Spain,ESP,Aragón,,,,6228,,912,2709,274,,['ESP.2_1']
ESP_MS,26-06-2020,Spain,ESP,Andalucía,,,,12984,,1426,6324,790,,['ESP.1_1']
ESP_MS,26-06-2020,Spain,ESP,Galicia,,,,9193,,619,2936,336,,['ESP.12_1']
ESP_MS,26-06-2020,Spain,ESP,Extremadura,,,,3025,,519,1774,139,,['ESP.11_1']
ESP_MS,26-06-2020,Spain,ESP,Comunidad Valenciana,,,,11512,,1432,5811,744,,['ESP.10_1']
ESP_MS,26-06-2020,Spain,ESP,La Rioja,,,,4076,,365,1488,91,,['ESP.15_1']
ESP_MS,26-06-2020,Spain,ESP,Ceuta,,,,163,,4,14,4,,['ESP.7.1_1']
ESP_MS,26-06-2020,Spain,ESP,Cataluña,,,,61073,,5668,29326,2986,,['ESP.6_1']
ESP_MS,26-06-2020,Spain,ESP,Castilla y León,,,,19607,,2783,8773,627,,['ESP.5_1']
ESP_MS,26-06-2020,Spain,ESP,Castilla-La Mancha,,,,18024,,3024,9400,659,,['ESP.4_1']
ESP_MS,26-06-2020,Spain,ESP,País Vasco,,,,13756,,1555,6999,579,,['ESP.16_1']
ESP_MS,26-06-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5442,,528,2046,137,,['ESP.9_1']
ESP_MS,26-06-2020,Spain,ESP,Región de Murcia,,,,1658,,147,682,112,,['ESP.18_1']
ESP_MS,26-06-2020,Spain,ESP,Melilla,,,,126,,2,45,3,,['ESP.7.2_1']
ESP_MS,26-06-2020,Spain,ESP,Comunidad de Madrid,,,,71632,,8418,42407,3607,,['ESP.8_1']
ESP_MS,25-06-2020,Spain,ESP,Castilla-La Mancha,,,,18021,,3020,9415,661,,['ESP.4_1']
ESP_MS,25-06-2020,Spain,ESP,Andalucía,,,,12957,,1426,6322,790,,['ESP.1_1']
ESP_MS,25-06-2020,Spain,ESP,Aragón,,,,6112,,911,2687,273,,['ESP.2_1']
ESP_MS,25-06-2020,Spain,ESP,Principado de Asturias,,,,2435,,334,1117,129,,['ESP.17_1']
ESP_MS,25-06-2020,Spain,ESP,Islas Baleares,,,,2191,,224,1171,169,,['ESP.13_1']
ESP_MS,25-06-2020,Spain,ESP,Islas Canarias,,,,2423,,162,953,185,,['ESP.14_1']
ESP_MS,25-06-2020,Spain,ESP,La Rioja,,,,4074,,365,1488,91,,['ESP.15_1']
ESP_MS,25-06-2020,Spain,ESP,País Vasco,,,,13745,,1555,6999,579,,['ESP.16_1']
ESP_MS,25-06-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5426,,528,2045,137,,['ESP.9_1']
ESP_MS,25-06-2020,Spain,ESP,Región de Murcia,,,,1657,,147,682,112,,['ESP.18_1']
ESP_MS,25-06-2020,Spain,ESP,Melilla,,,,126,,2,45,3,,['ESP.7.2_1']
ESP_MS,25-06-2020,Spain,ESP,Comunidad de Madrid,,,,71579,,8417,42393,3606,,['ESP.8_1']
ESP_MS,25-06-2020,Spain,ESP,Galicia,,,,9186,,619,2936,336,,['ESP.12_1']
