source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
ESP_MSVP,24-05-2020,Spain,ESP,Galicia,,,,9105,,613,2953,336,,['ESP.12_1']
ESP_MSVP,24-05-2020,Spain,ESP,Extremadura,,,,3047,,506,1781,110,,['ESP.11_1']
ESP_MSVP,24-05-2020,Spain,ESP,Ceuta y Melilla,,,,121,,2,44,3,,['ESP.7_1']
ESP_MSVP,24-05-2020,Spain,ESP,Región de Murcia,,,,1579,,149,685,112,,['ESP.18_1']
ESP_MSVP,24-05-2020,Spain,ESP,La Rioja,,,,4036,,358,1505,91,,['ESP.15_1']
ESP_MSVP,24-05-2020,Spain,ESP,Cataluña,,,,57148,,6701,29497,2969,,['ESP.6_1']
ESP_MSVP,24-05-2020,Spain,ESP,Comunidad Valenciana,,,,11073,,1393,5739,733,,['ESP.10_1']
ESP_MSVP,24-05-2020,Spain,ESP,Islas Baleares,,,,2041,,222,1141,168,,['ESP.13_1']
ESP_MSVP,24-05-2020,Spain,ESP,Islas Canarias,,,,2322,,157,942,179,,['ESP.14_1']
ESP_MSVP,24-05-2020,Spain,ESP,Principado de Asturias,,,,2397,,308,1095,121,,['ESP.17_1']
ESP_MSVP,24-05-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5219,,509,2050,137,,['ESP.9_1']
ESP_MSVP,24-05-2020,Spain,ESP,Cantabria,,,,2289,,209,1039,79,,['ESP.3_1']
ESP_MSVP,24-05-2020,Spain,ESP,País Vasco,,,,13476,,1494,7042,578,,['ESP.16_1']
ESP_MSVP,24-05-2020,Spain,ESP,Andalucía,,,,12600,,1391,6230,766,,[' ESP.1_1']
ESP_MSVP,24-05-2020,Spain,ESP,Castilla y León,,,,18789,,1961,8751,557,,['ESP.5_1']
ESP_MSVP,24-05-2020,Spain,ESP,Aragón,,,,5646,,858,2452,257,,['ESP.2_1']
ESP_MSVP,24-05-2020,Spain,ESP,Castilla-La Mancha,,,,16889,,2940,9195,642,,['ESP.4_1']
ESP_MSVP,24-05-2020,Spain,ESP,Comunidad de Madrid,,,,67871,,8977,42692,3635,,['ESP.8_1']
ESP_MSVP,23-05-2020,Spain,ESP,Principado de Asturias,,,,2377,,307,1092,121,,['ESP.17_1']
ESP_MSVP,23-05-2020,Spain,ESP,Comunidad de Madrid,,,,67610,,8956,42632,3634,,['ESP.8_1']
ESP_MSVP,23-05-2020,Spain,ESP,Ceuta y Melilla,,,,121,,2,44,3,,['ESP.7_1']
ESP_MSVP,23-05-2020,Spain,ESP,Extremadura,,,,3048,,507,1782,110,,['ESP.11_1']
ESP_MSVP,23-05-2020,Spain,ESP,Galicia,,,,9098,,610,2952,335,,['ESP.12_1']
ESP_MSVP,23-05-2020,Spain,ESP,País Vasco,,,,13467,,1494,7039,578,,['ESP.16_1']
ESP_MSVP,23-05-2020,Spain,ESP,Comunidad Valenciana,,,,11051,,1390,5738,733,,['ESP.10_1']
ESP_MSVP,23-05-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5205,,509,2050,137,,['ESP.9_1']
ESP_MSVP,23-05-2020,Spain,ESP,Cantabria,,,,2287,,209,1039,79,,['ESP.3_1']
ESP_MSVP,23-05-2020,Spain,ESP,Región de Murcia,,,,1575,,149,685,112,,['ESP.18_1']
ESP_MSVP,23-05-2020,Spain,ESP,Islas Baleares,,,,2039,,222,1141,168,,['ESP.13_1']
ESP_MSVP,23-05-2020,Spain,ESP,Aragón,,,,5627,,858,2451,257,,['ESP.2_1']
ESP_MSVP,23-05-2020,Spain,ESP,La Rioja,,,,4036,,357,1505,91,,['ESP.15_1']
ESP_MSVP,23-05-2020,Spain,ESP,Cataluña,,,,57114,,6663,29497,2969,,['ESP.6_1']
ESP_MSVP,23-05-2020,Spain,ESP,Islas Canarias,,,,2321,,157,942,179,,['ESP.14_1']
ESP_MSVP,23-05-2020,Spain,ESP,Andalucía,,,,12597,,1389,6229,766,,[' ESP.1_1']
ESP_MSVP,23-05-2020,Spain,ESP,Castilla y León,,,,18737,,1961,8749,557,,['ESP.5_1']
ESP_MSVP,23-05-2020,Spain,ESP,Castilla-La Mancha,,,,16855,,2934,9178,641,,['ESP.4_1']
ESP_MSVP,22-05-2020,Spain,ESP,Aragón,,,,5618,,858,2447,256,,['ESP.2_1']
ESP_MSVP,22-05-2020,Spain,ESP,Andalucía,,,,12576,,1377,6215,767,,[' ESP.1_1']
ESP_MSVP,22-05-2020,Spain,ESP,Cantabria,,,,2284,,209,1038,79,,['ESP.3_1']
ESP_MSVP,22-05-2020,Spain,ESP,País Vasco,,,,13454,,1487,7035,578,,['ESP.16_1']
ESP_MSVP,22-05-2020,Spain,ESP,Castilla-La Mancha,,,,16830,,2929,9157,640,,['ESP.4_1']
ESP_MSVP,22-05-2020,Spain,ESP,Principado de Asturias,,,,2376,,307,1090,121,,['ESP.17_1']
ESP_MSVP,22-05-2020,Spain,ESP,Islas Canarias,,,,2312,,155,943,179,,['ESP.14_1']
ESP_MSVP,22-05-2020,Spain,ESP,Cataluña,,,,57036,,6656,29497,2969,,['ESP.6_1']
ESP_MSVP,22-05-2020,Spain,ESP,La Rioja,,,,4036,,356,1505,91,,['ESP.15_1']
ESP_MSVP,22-05-2020,Spain,ESP,Comunidad de Madrid,,,,67425,,8944,42573,3627,,['ESP.8_1']
ESP_MSVP,22-05-2020,Spain,ESP,Galicia,,,,9084,,609,2947,334,,['ESP.12_1']
ESP_MSVP,22-05-2020,Spain,ESP,Extremadura,,,,3044,,506,1780,110,,['ESP.11_1']
ESP_MSVP,22-05-2020,Spain,ESP,Ceuta y Melilla,,,,121,,2,44,3,,['ESP.7_1']
ESP_MSVP,22-05-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5200,,508,2049,136,,['ESP.9_1']
ESP_MSVP,22-05-2020,Spain,ESP,Comunidad Valenciana,,,,11021,,1389,5747,731,,['ESP.10_1']
ESP_MSVP,22-05-2020,Spain,ESP,Castilla y León,,,,18674,,1961,8745,557,,['ESP.5_1']
ESP_MSVP,22-05-2020,Spain,ESP,Islas Baleares,,,,2037,,222,1139,168,,['ESP.13_1']
ESP_MSVP,22-05-2020,Spain,ESP,Región de Murcia,,,,1572,,149,679,112,,['ESP.18_1']
ESP_MSVP,21-05-2020,Spain,ESP,Comunidad Valenciana,,,,10987,,1383,5747,730,,['ESP.10_1']
ESP_MSVP,21-05-2020,Spain,ESP,Cataluña,,,,55888,,6021,29497,2969,,['ESP.6_1']
ESP_MSVP,21-05-2020,Spain,ESP,Islas Canarias,,,,2307,,155,944,179,,['ESP.14_1']
ESP_MSVP,21-05-2020,Spain,ESP,La Rioja,,,,4033,,354,1504,91,,['ESP.15_1']
ESP_MSVP,21-05-2020,Spain,ESP,Comunidad Foral de Navarra,,,,5195,,506,2048,136,,['ESP.9_1']
ESP_MSVP,21-05-2020,Spain,ESP,Cantabria,,,,2279,,209,1036,79,,['ESP.3_1']
