source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
EU_ZH,02-11-2021,Poland,POL,³ódzkie,,,3158,460,,28,,,8567,
EU_ZH,02-11-2021,Poland,POL,dolnoœl¹skie,,,3174,439,,22,,,7959,
EU_ZH,02-11-2021,Poland,POL,œwiêtokrzyskie,,,1647,139,,11,,,2178,
EU_ZH,02-11-2021,Poland,POL,Mazowieckie,,,8109,1220,,88,,,28352,['POL.7_1']
EU_ZH,02-11-2021,Poland,POL,Pomorskie,,,3700,734,,75,,,13603,['POL.11_1']
EU_ZH,02-11-2021,Poland,POL,œl¹skie,,,5162,673,,22,,,10746,
EU_ZH,02-11-2021,Poland,POL,Kujawsko-Pomorskie,,,2877,616,,31,,,10714,['POL.2_1']
EU_ZH,02-11-2021,Poland,POL,Wielkopolskie,,,4380,615,,38,,,14119,['POL.15_1']
EU_ZH,02-11-2021,Poland,POL,Opolskie,,,1367,169,,3,,,2584,['POL.8_1']
EU_ZH,02-11-2021,Poland,POL,Lubuskie,,,1340,245,,19,,,4532,['POL.5_1']
EU_ZH,02-11-2021,Poland,POL,Podlaskie,,,1260,270,,11,,,4770,['POL.10_1']
EU_ZH,02-11-2021,Poland,POL,Zachodniopomorskie,,,2135,321,,14,,,7620,['POL.16_1']
EU_ZH,02-11-2021,Poland,POL,Lubelskie,,,2325,349,,44,,,6531,['POL.4_1']
EU_ZH,02-11-2021,Poland,POL,Podkarpackie,,,2555,396,,8,,,5799,['POL.9_1']
EU_ZH,02-11-2021,Poland,POL,ma³opolskie,,,3413,388,,27,,,7314,
EU_ZH,02-11-2021,Poland,POL,warmiñsko-mazurskie,,,2606,513,,15,,,9146,
EU_ZH,02-10-2021,Poland,POL,Kujawsko-Pomorskie,,,3251,594,,34,,,9998,['POL.2_1']
EU_ZH,02-10-2021,Poland,POL,Lubelskie,,,2486,365,,34,,,6302,['POL.4_1']
EU_ZH,02-10-2021,Poland,POL,warmiñsko-mazurskie,,,2576,625,,17,,,7794,
EU_ZH,02-10-2021,Poland,POL,Wielkopolskie,,,4367,700,,32,,,12587,['POL.15_1']
EU_ZH,02-10-2021,Poland,POL,œl¹skie,,,5849,745,,30,,,10202,
EU_ZH,02-10-2021,Poland,POL,Mazowieckie,,,7766,1211,,54,,,26674,['POL.7_1']
EU_ZH,02-10-2021,Poland,POL,Podlaskie,,,1445,323,,13,,,4331,['POL.10_1']
EU_ZH,02-10-2021,Poland,POL,Pomorskie,,,3425,571,,23,,,12684,['POL.11_1']
EU_ZH,02-10-2021,Poland,POL,Podkarpackie,,,2673,353,,12,,,5197,['POL.9_1']
EU_ZH,02-10-2021,Poland,POL,dolnoœl¹skie,,,3093,319,,13,,,7891,
EU_ZH,02-10-2021,Poland,POL,Lubuskie,,,1794,278,,12,,,4340,['POL.5_1']
EU_ZH,02-10-2021,Poland,POL,œwiêtokrzyskie,,,1332,158,,16,,,2118,
EU_ZH,02-10-2021,Poland,POL,Opolskie,,,863,79,,8,,,2493,['POL.8_1']
EU_ZH,02-10-2021,Poland,POL,³ódzkie,,,3410,415,,29,,,8332,
EU_ZH,02-10-2021,Poland,POL,Zachodniopomorskie,,,2277,370,,18,,,7350,['POL.16_1']
EU_ZH,02-10-2021,Poland,POL,ma³opolskie,,,3147,368,,15,,,6936,
EU_ZH,02-09-2021,Poland,POL,œl¹skie,,,4451,430,,28,,,10244,
EU_ZH,02-09-2021,Poland,POL,warmiñsko-mazurskie,,,2674,517,,18,,,8171,
EU_ZH,02-09-2021,Poland,POL,Mazowieckie,,,5750,714,,19,,,27277,['POL.7_1']
EU_ZH,02-09-2021,Poland,POL,Pomorskie,,,2952,451,,11,,,13258,['POL.11_1']
EU_ZH,02-09-2021,Poland,POL,Kujawsko-Pomorskie,,,3165,382,,14,,,10119,['POL.2_1']
EU_ZH,02-09-2021,Poland,POL,Wielkopolskie,,,3182,270,,25,,,13188,['POL.15_1']
EU_ZH,02-09-2021,Poland,POL,dolnoœl¹skie,,,2798,248,,12,,,8040,
