source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,"Newry, Mourne and Down","Newry, Mourne and Down",120136,19062,,180,,,,['GBR.2.10_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Mid Ulster,,97969,18156,,217,,,,['GBR.2.9_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Lisburn and Castlereagh,Lisburn and Castlereagh,93000,12070,,161,,,,['GBR.2.7_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Lisburn and Castlereagh,,93000,12070,,161,,,,['GBR.2.7_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Mid Ulster,Mid Ulster,97969,18156,,217,,,,['GBR.2.9_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Mid and East Antrim,,82354,11992,,232,,,,['GBR.2.8_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Fermanagh and Omagh,Fermanagh and Omagh,73895,10971,,94,,,,['GBR.2.6_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Fermanagh and Omagh,,73895,10971,,94,,,,['GBR.2.6_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Mid and East Antrim,Mid and East Antrim,82354,11992,,232,,,,['GBR.2.8_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,"Newry, Mourne and Down",,120136,19062,,180,,,,['GBR.2.10_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Derry and Strabane,Derry and Strabane,113710,21182,,153,,,,['GBR.2.5_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Causeway Coast and Glens,Causeway Coast and Glens,83738,12672,,184,,,,['GBR.2.4_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Unknown,,73419,4630,,9,,,,
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Causeway Coast and Glens,,83738,12672,,184,,,,['GBR.2.4_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Belfast,Belfast,250014,38204,,433,,,,['GBR.2.3_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,,,1308414,195433,,2337,,,,['GBR.2_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Antrim and Newtownabbey,,91826,13385,,223,,,,['GBR.2.1_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Belfast,,250014,38204,,433,,,,['GBR.2.3_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,"Armagh, Banbridge and Craigavon","Armagh, Banbridge and Craigavon",136144,22587,,315,,,,['GBR.2.2_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,Derry and Strabane,,113710,21182,,153,,,,['GBR.2.5_1']
GBR_NIDH,27-08-2021,United Kingdom,GBR,Northern Ireland,"Armagh, Banbridge and Craigavon",,136144,22587,,315,,,,['GBR.2.2_1']
