source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,,,1716160,205999,,7422,,,,['GBR.3_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,East Dunbartonshire,East Dunbartonshire,36001,4799,,194,,,,['GBR.3.9.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Orkney,,3494,70,,3,,,,['GBR.3.23_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Lothian,,262949,28371,,1085,,,,"['GBR.3.10_1', 'GBR.3.12_1', 'GBR.3.19_1', 'GBR.3.32_1']"
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Highland,,77077,4752,,166,,,,"['GBR.3.4_1', 'GBR.3.17_1']"
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Grampian,,159076,13640,,446,,,,"['GBR.3.1_1', 'GBR.3.2_1', 'GBR.3.20_1']"
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Forth Valley,,105064,11139,,427,,,,"['GBR.3.5_1', 'GBR.3.14_1', 'GBR.3.30_1']"
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Dumfries & Galloway,,46526,4061,,137,,,,['GBR.3.6_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Borders,,32094,2833,,101,,,,['GBR.3.26_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,NHS Ayrshire & Arran,,118034,15598,,692,,,,"['GBR.3.8_1', 'GBR.3.21_1', 'GBR.3.28_1']"
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Argyll and Bute,,21834,1406,,71,,,,['GBR.3.4_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,North Lanarkshire,North Lanarkshire,123687,19946,,656,,,,['GBR.3.22.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,North Lanarkshire,,123687,19946,,656,,,,['GBR.3.22_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Aberdeenshire,Aberdeenshire,65697,5374,,182,,,,['GBR.3.2.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Glasgow,Glasgow,235836,37896,,1111,,,,['GBR.3.16.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Glasgow,,235836,37896,,1111,,,,['GBR.3.16_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Aberdeenshire,,65697,5374,,182,,,,['GBR.3.2_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Aberdeen,Aberdeen,67079,6635,,233,,,,['GBR.3.1.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Aberdeen,,67079,6635,,233,,,,['GBR.3.1_1']
GBR_PHS,07-03-2021,United Kingdom,GBR,Scotland,Stirling,Stirling,31469,3049,,111,,,,['GBR.3.30.1_1']
