source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Greater Glasgow and Clyde,,,4853,,,,,,"['GBR.3.9_1', 'GBR.3.11_1', 'GBR.3.16_1', 'GBR.3.18_1', 'GBR.3.25_1', 'GBR.3.31_1', 'GBR.3.4_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Grampian,,,1419,,,,,,"['GBR.3.1_1', 'GBR.3.2_1', 'GBR.3.20_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Belfast,,,1327,,,,,,['GBR.2.3_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Causeway Coast and Glens,,,250,,,,,,['GBR.2.4_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Derry City and Strabane,,,177,,,,,,['GBR.2.5_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Fermanagh and Omagh,,,86,,,,,,['GBR.2.6_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Lisburn and Castlereagh,,,456,,,,,,['GBR.2.7_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Mid and East Antrim,,,334,,,,,,['GBR.2.8_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Mid Ulster,,,257,,,,,,['GBR.2.9_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,"Newry, Mourne and Down",,,294,,,,,,['GBR.2.10_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Ayrshire and Arran,,,1255,,,,,,"['GBR.3.8_1', 'GBR.3.21_1', 'GBR.3.28_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Borders,,,345,,,,,,['GBR.3.26_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Dumfries and Galloway,,,290,,,,,,['GBR.3.6_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Fife,,,930,,,,,,['GBR.3.15_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Forth Valley,,,1070,,,,,,"['GBR.3.5_1', 'GBR.3.14_1', 'GBR.3.30_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Ards and North Down,,,396,,,,,,['GBR.2.11_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,"Armagh City, Banbridge and Craigavon",,,542,,,,,,['GBR.2.2_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Western Isles,,,7,,,,,,['GBR.3.13_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,Antrim and Newtownabbey,,,414,,,,,,['GBR.2.1_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Orkney,,,9,,,,,,['GBR.3.23_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Shetland,,,54,,,,,,['GBR.3.27_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Tayside,,,1769,,,,,,"['GBR.3.3_1', 'GBR.3.7_1', 'GBR.3.24_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,,,,,312654,,43730,,,,['GBR']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,,,260336,18251,,2485,,,,['GBR.3_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Northern Ireland,,,,,,551,,,,['GBR.2_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,England,,,,,,39187,,,,['GBR.1_1']
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Lothian,,,3151,,,,,,"['GBR.3.10_1', 'GBR.3.12_1', 'GBR.3.19_1', 'GBR.3.32_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Lanarkshire,,,2724,,,,,,"['GBR.3.22_1', 'GBR.3.29_1']"
GBR_PHTW,30-06-2020,United Kingdom,GBR,Scotland,NHS Highland,,,375,,,,,,"['GBR.3.4_1', 'GBR.3.17_1']"
GBR_PHTW,29-06-2020,United Kingdom,GBR,Wales,Abertawe Bro Morgannwg University Health Board,,,1908,,,,,,"['GBR.4.3_1', 'GBR.4.14_1', 'GBR.4.19_1']"
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Halton,,,416,,,,,,['GBR.1.37_1']
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Hammersmith and Fulham,,,698,,,,,,['GBR.1.36.12_1']
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Hertfordshire,,,3003,,,,,,['GBR.1.41_1']
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Hounslow,,,789,,,,,,['GBR.1.36.17_1']
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Telford and Wrekin,,,376,,,,,,['GBR.1.101_1']
GBR_PHTW,29-06-2020,United Kingdom,GBR,England,Trafford,,,884,,,,,,['GBR.1.104_1']
