source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Swansea Bay University Health Board,,,,,206,,,,"['GBR.4.3_1', 'GBR.4.14_1', 'GBR.4.19_1']"
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Neath Port Talbot,,6970,635,,,,,,['GBR.4.14_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Neath Port Talbot,Neath Port Talbot,6970,635,,,,,,['GBR.4.14.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Newport,,6614,860,,,,,,['GBR.4.15_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Newport,Newport,6614,860,,,,,,['GBR.4.15.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Pembrokeshire,,5559,287,,,,,,['GBR.4.16_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Pembrokeshire,Pembrokeshire,5559,287,,,,,,['GBR.4.16.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Powys,,4668,304,,,,,,['GBR.4.17_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Blaenau Gwent,,3489,353,,,,,,['GBR.4.2_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Blaenau Gwent,Blaenau Gwent,3489,353,,,,,,['GBR.4.2.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Bridgend,,7299,558,,,,,,['GBR.4.3_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Bridgend,Bridgend,7299,558,,,,,,['GBR.4.3.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Caerphilly,,7321,724,,,,,,['GBR.4.4_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Caerphilly,Caerphilly,7321,724,,,,,,['GBR.4.4.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Cardiff,,17387,2255,,,,,,['GBR.4.5_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Cardiff,Cardiff,17387,2255,,,,,,['GBR.4.5.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Carmarthenshire,,10163,784,,,,,,['GBR.4.6_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Powys,Powys,4668,304,,,,,,['GBR.4.17.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,"Rhondda, Cynon, Taff",,12531,1800,,,,,,['GBR.4.18_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,"Rhondda, Cynon, Taff","Rhondda, Cynon, Taff",12531,1800,,,,,,['GBR.4.18.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Swansea,,11519,1285,,,,,,['GBR.4.19_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Swansea,Swansea,11519,1285,,,,,,['GBR.4.19.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Torfaen,,4034,352,,,,,,['GBR.4.20_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Torfaen,Torfaen,4034,352,,,,,,['GBR.4.20.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Unknown,,4689,186,,,,,,
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Vale of Glamorgan,,7098,740,,,,,,['GBR.4.21_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Vale of Glamorgan,Vale of Glamorgan,7098,740,,,,,,['GBR.4.21.1_1']
GBR_PHW,11-07-2020,United Kingdom,GBR,Wales,Wrexham,,7082,883,,,,,,['GBR.4.22_1']
