source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
IDN_GTPPC,03-07-2020,Indonesia,IDN,,,,,60695,27568,3036,,,,['IDN']
IDN_GTPPC,02-07-2020,Indonesia,IDN,,,,,59394,26667,2987,,,,['IDN']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Sulawesi Selatan,,,,5213,1890,167,,,,['IDN.26_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Jakarta Raya,,,,11144,6641,612,,,,['IDN.7_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Bengkulu,,,,129,90,12,,,,['IDN.5_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Banten,,,,1408,660,78,,,,['IDN.4_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Bangka Belitung,,,,155,134,2,,,,['IDN.3_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Bali,,,,1518,853,13,,,,['IDN.2_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Aceh,,,,86,31,3,,,,['IDN.1_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,,,,,57770,25595,2934,,,,['IDN']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Kalimantan Timur,,,,522,398,7,,,,"['IDN.15.1_1', 'IDN.15.2_1', 'IDN.15.3_1', 'IDN.15.5_1', 'IDN.15.6_1', 'IDN.15.7_1', 'IDN.15.10_1', 'IDN.15.11_1', 'IDN.15.12_1']"
IDN_GTPPC,01-07-2020,Indonesia,IDN,Yogyakarta,,,,299,264,8,,,,['IDN.33_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Sulawesi Tenggara,,,,405,237,6,,,,['IDN.28_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Sulawesi Barat,,,,117,84,2,,,,['IDN.25_1']
IDN_GTPPC,01-07-2020,Indonesia,IDN,Riau,,,,226,178,10,,,,['IDN.24_1']
