source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
IND_COVIND,29-03-2021,India,IND,,,,241864161,12095251,11390663,161556,,,,['IND']
IND_COVIND,28-03-2021,India,IND,Uttar Pradesh,,,34546987,613798,597320,8786,,,,['IND.34_1']
IND_COVIND,28-03-2021,India,IND,Manipur,,,574525,29381,28949,374,,,,['IND.21_1']
IND_COVIND,28-03-2021,India,IND,Maharashtra,,,19358341,2713875,2332453,54180,,,,['IND.20_1']
IND_COVIND,28-03-2021,India,IND,Madhya Pradesh,,,6322512,288683,270540,3959,,,,['IND.19_1']
IND_COVIND,28-03-2021,India,IND,Lakshadweep,,,47410,715,652,1,,,,['IND.18_1']
IND_COVIND,28-03-2021,India,IND,Ladakh,,,,9974,9736,130,,,,"['IND.14.8_1', 'IND.14.13_1']"
IND_COVIND,28-03-2021,India,IND,Kerala,,,13013503,1117994,1088517,4580,,,,['IND.17_1']
IND_COVIND,28-03-2021,India,IND,Karnataka,,,21108544,987012,951453,12511,,,,['IND.16_1']
IND_COVIND,28-03-2021,India,IND,Jharkhand,,,5846493,122910,119954,1110,,,,['IND.15_1']
IND_COVIND,28-03-2021,India,IND,Jammu and Kashmir,,,5950506,129993,126003,1989,,,,"['IND.14.1_1', 'IND.14.2_1', 'IND.14.3_1', 'IND.14.4_1', 'IND.14.5_1', 'IND.14.6_1', 'IND.14.7_1', 'IND.14.9_1', 'IND.14.10_1', 'IND.14.11_1', 'IND.14.12_1', 'IND.14.14_1', 'IND.14.15_1', 'IND.14.16_1', 'IND.14.17_1', 'IND.14.18_1', 'IND.14.19_1', 'IND.14.20_1', 'IND.14.21_1', 'IND.14.22_1']"
IND_COVIND,28-03-2021,India,IND,Himachal Pradesh,,,1244992,62660,59139,1023,,,,['IND.13_1']
IND_COVIND,28-03-2021,India,IND,Haryana,,,6211231,287719,275457,3141,,,,['IND.12_1']
IND_COVIND,28-03-2021,India,IND,Uttarakhand,,,2714881,99881,95025,1712,,,,['IND.35_1']
IND_COVIND,28-03-2021,India,IND,West Bengal,,,9113077,584666,569366,10324,,,,['IND.36_1']
IND_COVIND,28-03-2021,India,IND,Meghalaya,,,,13984,13717,150,,,,['IND.22_1']
IND_COVIND,28-03-2021,India,IND,Mizoram,,,251064,4465,4428,11,,,,['IND.23_1']
IND_COVIND,28-03-2021,India,IND,Nagaland,,,135936,12193,11980,85,,,,['IND.24_1']
IND_COVIND,28-03-2021,India,IND,,,,240950842,12039132,11353680,161290,,,,['IND']
IND_COVIND,28-03-2021,India,IND,Andaman and Nicobar,,,,5042,4967,62,,,,['IND.1_1']
IND_COVIND,28-03-2021,India,IND,Andhra Pradesh,,,14990039,898815,886216,7205,,,,['IND.2_1']
