source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
IRL_HSPC,15-07-2020,Ireland,IRL,Carlow,,,,177,,,,,,['IRL.1_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Cavan,,,,866,,,,,,['IRL.2_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Clare,,,,369,,,,,,['IRL.3_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Cork,,,,1554,,,,,,['IRL.4_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Donegal,,,,471,,,,,,['IRL.5_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Dublin,,,,12342,,,,,,['IRL.6_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Galway,,,,489,,,,,,['IRL.7_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Kerry,,,,316,,,,,,['IRL.8_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Kildare,,,,1517,,,,,,['IRL.9_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Kilkenny,,,,356,,,,,,['IRL.10_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Laoighis,,,,265,,,,,,['IRL.11_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Leitrim,,,,82,,,,,,['IRL.12_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Limerick,,,,589,,,,,,['IRL.13_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Longford,,,,287,,,,,,['IRL.14_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Louth,,,,790,,,,,,['IRL.15_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Mayo,,,,573,,,,,,['IRL.16_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Meath,,,,817,,,,,,['IRL.17_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Monaghan,,,,540,,,,,,['IRL.18_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Offaly,,,,485,,,,,,['IRL.19_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Roscommon,,,,346,,,,,,['IRL.20_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Sligo,,,,148,,,,,,['IRL.21_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Tipperary,,,,543,,,,,,['IRL.22_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Waterford,,,,166,,,,,,['IRL.23_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Westmeath,,,,676,,,,,,['IRL.24_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Wexford,,,,223,,,,,,['IRL.25_1']
IRL_HSPC,15-07-2020,Ireland,IRL,Wicklow,,,,709,,,,,,['IRL.26_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Kerry,,,,316,,,,,,['IRL.8_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Wicklow,,,,709,,,,,,['IRL.26_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Wexford,,,,222,,,,,,['IRL.25_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Westmeath,,,,676,,,,,,['IRL.24_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Waterford,,,,166,,,,,,['IRL.23_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Tipperary,,,,543,,,,,,['IRL.22_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Sligo,,,,148,,,,,,['IRL.21_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Roscommon,,,,346,,,,,,['IRL.20_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Monaghan,,,,540,,,,,,['IRL.18_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Meath,,,,817,,,,,,['IRL.17_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Mayo,,,,573,,,,,,['IRL.16_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Louth,,,,789,,,,,,['IRL.15_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Longford,,,,287,,,,,,['IRL.14_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Limerick,,,,589,,,,,,['IRL.13_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Leitrim,,,,82,,,,,,['IRL.12_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Laoighis,,,,265,,,,,,['IRL.11_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Kilkenny,,,,356,,,,,,['IRL.10_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Kildare,,,,1517,,,,,,['IRL.9_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Offaly,,,,486,,,,,,['IRL.19_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Galway,,,,489,,,,,,['IRL.7_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Dublin,,,,12231,,,,,,['IRL.6_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Donegal,,,,469,,,,,,['IRL.5_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Cork,,,,1550,,,,,,['IRL.4_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Clare,,,,369,,,,,,['IRL.3_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Cavan,,,,866,,,,,,['IRL.2_1']
IRL_HSPC,14-07-2020,Ireland,IRL,Carlow,,,,176,,,,,,['IRL.1_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Wicklow,,,,709,,,,,,['IRL.26_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Wexford,,,,221,,,,,,['IRL.25_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Westmeath,,,,676,,,,,,['IRL.24_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Waterford,,,,166,,,,,,['IRL.23_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Tipperary,,,,543,,,,,,['IRL.22_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Sligo,,,,148,,,,,,['IRL.21_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Roscommon,,,,346,,,,,,['IRL.20_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Offaly,,,,486,,,,,,['IRL.19_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Monaghan,,,,540,,,,,,['IRL.18_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Meath,,,,817,,,,,,['IRL.17_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Mayo,,,,573,,,,,,['IRL.16_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Louth,,,,789,,,,,,['IRL.15_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Longford,,,,287,,,,,,['IRL.14_1']
IRL_HSPC,13-07-2020,Ireland,IRL,Limerick,,,,589,,,,,,['IRL.13_1']
