source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
ITA_PCDM,29-03-2021,Italy,ITA,Marche,,,994197,86423,75160,2598,807,151,8514,['ITA.11_1']
ITA_PCDM,29-03-2021,Italy,ITA,Lombardia,,,8068777,721276,601915,30550,6994,870,87941,['ITA.10_1']
ITA_PCDM,29-03-2021,Italy,ITA,Liguria,,,1220793,87811,77602,3851,641,72,6286,['ITA.9_1']
ITA_PCDM,29-03-2021,Italy,ITA,Sardegna,,,983595,44654,29647,1229,200,31,13747,['ITA.14_1']
ITA_PCDM,29-03-2021,Italy,ITA,Apulia,,,1845068,187671,138303,4726,1852,248,44394,['ITA.2_1']
ITA_PCDM,29-03-2021,Italy,ITA,Piemonte,,,3261398,301284,259128,10208,3837,364,31584,['ITA.13_1']
ITA_PCDM,29-03-2021,Italy,ITA,Trento,,,696625,40631,36477,1278,217,46,2830,['ITA.17.2_1']
ITA_PCDM,29-03-2021,Italy,ITA,Lazio,,,5084630,279041,224247,6574,3013,380,47840,['ITA.8_1']
ITA_PCDM,29-03-2021,Italy,ITA,Friuli-Venezia Giulia,,,1605290,95719,77618,3275,680,86,14740,['ITA.7_1']
ITA_PCDM,29-03-2021,Italy,ITA,Emilia-Romagna,,,4785678,329629,247487,11792,3540,398,69952,['ITA.6_1']
ITA_PCDM,29-03-2021,Italy,ITA,Veneto,,,6097170,377775,329209,10538,1616,278,37750,['ITA.20_1']
ITA_PCDM,29-03-2021,Italy,ITA,Bolzano,,,1093129,68563,66771,1121,98,23,648,['ITA.17.1_1']
ITA_PCDM,29-03-2021,Italy,ITA,Valle d'Aosta,,,92907,9064,7839,421,38,9,795,['ITA.19_1']
ITA_PCDM,29-03-2021,Italy,ITA,Umbria,,,968402,50188,44333,1247,372,60,4548,['ITA.18_1']
ITA_PCDM,29-03-2021,Italy,ITA,Campania,,,3563733,332099,232906,5261,1601,169,93763,['ITA.5_1']
ITA_PCDM,29-03-2021,Italy,ITA,Calabria,,,661274,45922,35177,802,389,36,9907,['ITA.4_1']
ITA_PCDM,29-03-2021,Italy,ITA,Basilicata,,,290187,19013,13955,439,168,12,4607,['ITA.3_1']
ITA_PCDM,29-03-2021,Italy,ITA,Abruzzo,,,1232453,64154,52112,2100,620,78,9864,['ITA.1_1']
ITA_PCDM,29-03-2021,Italy,ITA,Sicily,,,3147423,171574,150426,4607,876,133,16408,['ITA.15_1']
ITA_PCDM,29-03-2021,Italy,ITA,Molise,,,183679,12179,10833,436,72,15,895,['ITA.12_1']
ITA_PCDM,29-03-2021,Italy,ITA,Toscana,,,3373577,191124,159469,5297,1532,262,26096,['ITA.16_1']
ITA_PCDM,28-03-2021,Italy,ITA,Veneto,,,6084751,377087,328486,10528,1576,267,37806,['ITA.20_1']
ITA_PCDM,28-03-2021,Italy,ITA,Abruzzo,,,1228779,63937,51801,2083,613,77,9976,['ITA.1_1']
ITA_PCDM,28-03-2021,Italy,ITA,Umbria,,,967576,50146,44201,1247,365,60,4638,['ITA.18_1']
ITA_PCDM,28-03-2021,Italy,ITA,Toscana,,,3361490,190130,158808,5266,1505,264,25792,['ITA.16_1']
ITA_PCDM,28-03-2021,Italy,ITA,Sardegna,,,973870,44501,29559,1226,189,30,13686,['ITA.14_1']
ITA_PCDM,28-03-2021,Italy,ITA,Apulia,,,1839926,186937,137164,4693,1800,238,44842,['ITA.2_1']
ITA_PCDM,28-03-2021,Italy,ITA,Piemonte,,,3247201,299841,257852,10190,3776,369,31430,['ITA.13_1']
ITA_PCDM,28-03-2021,Italy,ITA,Trento,,,695720,40558,36302,1277,206,45,2934,['ITA.17.2_1']
ITA_PCDM,28-03-2021,Italy,ITA,Basilicata,,,289750,18990,13904,436,158,13,4637,['ITA.3_1']
ITA_PCDM,28-03-2021,Italy,ITA,Calabria,,,659830,45733,35008,800,377,36,9889,['ITA.4_1']
ITA_PCDM,28-03-2021,Italy,ITA,Campania,,,3552320,330939,230662,5207,1592,165,94905,['ITA.5_1']
ITA_PCDM,28-03-2021,Italy,ITA,Emilia-Romagna,,,4773714,327731,246682,11737,3442,401,68911,['ITA.6_1']
ITA_PCDM,28-03-2021,Italy,ITA,Friuli-Venezia Giulia,,,1601770,95436,77208,3264,662,84,14880,['ITA.7_1']
ITA_PCDM,28-03-2021,Italy,ITA,Lazio,,,5069809,277770,222686,6529,2881,370,48185,['ITA.8_1']
ITA_PCDM,28-03-2021,Italy,ITA,Liguria,,,1216828,87479,77517,3847,636,67,6048,['ITA.9_1']
ITA_PCDM,28-03-2021,Italy,ITA,Lombardia,,,8047640,719408,593324,30462,7069,868,94754,['ITA.10_1']
ITA_PCDM,28-03-2021,Italy,ITA,Molise,,,183522,12163,10775,434,73,16,938,['ITA.12_1']
ITA_PCDM,28-03-2021,Italy,ITA,Bolzano,,,1089209,68533,66644,1113,94,25,751,['ITA.17.1_1']
ITA_PCDM,28-03-2021,Italy,ITA,Sicily,,,3124143,170807,150068,4583,844,129,16027,['ITA.15_1']
ITA_PCDM,28-03-2021,Italy,ITA,Marche,,,992699,86192,74403,2591,806,147,9051,['ITA.11_1']
ITA_PCDM,28-03-2021,Italy,ITA,Valle d'Aosta,,,92746,9038,7835,420,37,8,775,['ITA.19_1']
ITA_PCDM,27-03-2021,Italy,ITA,Abruzzo,,,1223572,63658,51794,2074,623,83,9707,['ITA.1_1']
ITA_PCDM,27-03-2021,Italy,ITA,Lombardia,,,8004306,715833,585943,30387,7124,852,98651,['ITA.10_1']
ITA_PCDM,27-03-2021,Italy,ITA,Marche,,,988038,85681,73841,2579,812,148,9113,['ITA.11_1']
ITA_PCDM,27-03-2021,Italy,ITA,Bolzano,,,1083140,68456,66534,1110,94,27,785,['ITA.17.1_1']
ITA_PCDM,27-03-2021,Italy,ITA,Trento,,,693130,40399,36018,1276,203,44,3061,['ITA.17.2_1']
ITA_PCDM,27-03-2021,Italy,ITA,Piemonte,,,3231331,298307,256309,10180,3767,360,31458,['ITA.13_1']
ITA_PCDM,27-03-2021,Italy,ITA,Apulia,,,1830453,185175,136633,4679,1774,231,43632,['ITA.2_1']
ITA_PCDM,27-03-2021,Italy,ITA,Lazio,,,5038994,275943,222009,6515,2872,364,47055,['ITA.8_1']
ITA_PCDM,27-03-2021,Italy,ITA,Friuli-Venezia Giulia,,,1595003,95007,76560,3241,645,82,15124,['ITA.7_1']
ITA_PCDM,27-03-2021,Italy,ITA,Emilia-Romagna,,,4754658,325574,245274,11706,3467,400,68194,['ITA.6_1']
ITA_PCDM,27-03-2021,Italy,ITA,Sardegna,,,952409,44229,29511,1223,177,32,13463,['ITA.14_1']
ITA_PCDM,27-03-2021,Italy,ITA,Sicily,,,3098896,169885,149728,4558,813,127,15472,['ITA.15_1']
ITA_PCDM,27-03-2021,Italy,ITA,Toscana,,,3339047,188771,157725,5239,1496,264,25543,['ITA.16_1']
ITA_PCDM,27-03-2021,Italy,ITA,Umbria,,,963064,49977,43919,1243,372,57,4758,['ITA.18_1']
ITA_PCDM,27-03-2021,Italy,ITA,Valle d'Aosta,,,92060,8966,7787,420,32,8,751,['ITA.19_1']
ITA_PCDM,27-03-2021,Italy,ITA,Veneto,,,6061958,375714,327511,10517,1545,254,37432,['ITA.20_1']
ITA_PCDM,27-03-2021,Italy,ITA,Campania,,,3530176,328842,229146,5189,1594,168,94339,['ITA.5_1']
ITA_PCDM,27-03-2021,Italy,ITA,Calabria,,,657338,45383,34922,795,361,37,9629,['ITA.4_1']
ITA_PCDM,27-03-2021,Italy,ITA,Basilicata,,,288548,18843,13846,433,157,14,4550,['ITA.3_1']
ITA_PCDM,27-03-2021,Italy,ITA,Liguria,,,1212021,87104,77223,3841,619,66,5974,['ITA.9_1']
ITA_PCDM,27-03-2021,Italy,ITA,Molise,,,182521,12085,10706,431,74,17,931,['ITA.12_1']
ITA_PCDM,26-03-2021,Italy,ITA,Trento,,,689885,40193,35834,1273,194,44,3042,['ITA.17.2_1']
ITA_PCDM,26-03-2021,Italy,ITA,Abruzzo,,,1217120,63318,51411,2072,615,85,9750,['ITA.1_1']
ITA_PCDM,26-03-2021,Italy,ITA,Basilicata,,,287018,18710,13818,431,157,15,4446,['ITA.3_1']
ITA_PCDM,26-03-2021,Italy,ITA,Calabria,,,653967,44896,34824,789,340,35,9248,['ITA.4_1']
ITA_PCDM,26-03-2021,Italy,ITA,Campania,,,3506074,326641,226818,5158,1586,181,94484,['ITA.5_1']
ITA_PCDM,26-03-2021,Italy,ITA,Emilia-Romagna,,,4721424,323261,243244,11673,3515,399,67945,['ITA.6_1']
ITA_PCDM,26-03-2021,Italy,ITA,Friuli-Venezia Giulia,,,1583938,94330,75733,3227,650,78,15292,['ITA.7_1']
ITA_PCDM,26-03-2021,Italy,ITA,Lazio,,,5004575,274198,221271,6500,2792,360,46067,['ITA.8_1']
ITA_PCDM,26-03-2021,Italy,ITA,Liguria,,,1204780,86589,77035,3833,605,67,5654,['ITA.9_1']
ITA_PCDM,26-03-2021,Italy,ITA,Lombardia,,,7942837,710962,583133,30285,7111,848,96696,['ITA.10_1']
ITA_PCDM,26-03-2021,Italy,ITA,Marche,,,982389,84963,73092,2566,807,152,9153,['ITA.11_1']
ITA_PCDM,26-03-2021,Italy,ITA,Molise,,,182226,12051,10661,428,77,17,945,['ITA.12_1']
ITA_PCDM,26-03-2021,Italy,ITA,Bolzano,,,1071227,68344,66411,1110,108,29,794,['ITA.17.1_1']
ITA_PCDM,26-03-2021,Italy,ITA,Piemonte,,,3197847,295679,254172,10131,3759,358,31018,['ITA.13_1']
ITA_PCDM,26-03-2021,Italy,ITA,Apulia,,,1817711,183175,135498,4647,1766,231,42799,['ITA.2_1']
ITA_PCDM,26-03-2021,Italy,ITA,Sardegna,,,949634,43949,29426,1221,170,30,13272,['ITA.14_1']
ITA_PCDM,26-03-2021,Italy,ITA,Sicily,,,3069858,169009,148870,4535,799,121,15483,['ITA.15_1']
ITA_PCDM,26-03-2021,Italy,ITA,Toscana,,,3312214,187327,156354,5220,1473,257,25496,['ITA.16_1']
ITA_PCDM,26-03-2021,Italy,ITA,Umbria,,,957768,49751,43640,1237,376,57,4817,['ITA.18_1']
ITA_PCDM,26-03-2021,Italy,ITA,Valle d'Aosta,,,91388,8849,7763,420,24,7,659,['ITA.19_1']
ITA_PCDM,26-03-2021,Italy,ITA,Veneto,,,6019629,373952,325644,10500,1548,257,37551,['ITA.20_1']
ITA_PCDM,25-03-2021,Italy,ITA,Bolzano,,,1060036,68197,66286,1108,106,31,772,['ITA.17.1_1']
ITA_PCDM,25-03-2021,Italy,ITA,Campania,,,3484081,324704,223924,5116,1576,184,95480,['ITA.5_1']
ITA_PCDM,25-03-2021,Italy,ITA,Trento,,,686728,39946,35539,1268,203,45,3094,['ITA.17.2_1']
ITA_PCDM,25-03-2021,Italy,ITA,Calabria,,,650863,44493,34627,786,331,34,9046,['ITA.4_1']
ITA_PCDM,25-03-2021,Italy,ITA,Basilicata,,,285626,18568,13742,430,156,15,4381,['ITA.3_1']
ITA_PCDM,25-03-2021,Italy,ITA,Abruzzo,,,1210893,62920,50987,2067,621,79,9787,['ITA.1_1']
ITA_PCDM,25-03-2021,Italy,ITA,Apulia,,,1805576,181017,133996,4606,1762,231,42184,['ITA.2_1']
ITA_PCDM,25-03-2021,Italy,ITA,Lazio,,,4968957,272221,219460,6463,2763,355,45943,['ITA.8_1']
ITA_PCDM,25-03-2021,Italy,ITA,Sardegna,,,943882,43768,29362,1219,173,27,13160,['ITA.14_1']
ITA_PCDM,25-03-2021,Italy,ITA,Sicily,,,3042029,168103,148409,4513,813,118,15063,['ITA.15_1']
ITA_PCDM,25-03-2021,Italy,ITA,Toscana,,,3286164,185905,155313,5198,1470,257,25137,['ITA.16_1']
ITA_PCDM,25-03-2021,Italy,ITA,Umbria,,,950265,49432,43408,1232,375,63,4729,['ITA.18_1']
ITA_PCDM,25-03-2021,Italy,ITA,Valle d'Aosta,,,90571,8788,7748,419,28,5,616,['ITA.19_1']
ITA_PCDM,25-03-2021,Italy,ITA,Veneto,,,5976984,371849,323755,10467,1556,256,37371,['ITA.20_1']
ITA_PCDM,25-03-2021,Italy,ITA,Liguria,,,1197494,86118,76725,3827,589,65,5501,['ITA.9_1']
ITA_PCDM,25-03-2021,Italy,ITA,Friuli-Venezia Giulia,,,1573489,93567,75045,3199,645,78,15245,['ITA.7_1']
ITA_PCDM,25-03-2021,Italy,ITA,Emilia-Romagna,,,4689356,320837,240932,11627,3557,402,67876,['ITA.6_1']
ITA_PCDM,25-03-2021,Italy,ITA,Piemonte,,,3165732,293644,251936,10093,3677,357,31258,['ITA.13_1']
ITA_PCDM,25-03-2021,Italy,ITA,Lombardia,,,7882033,705864,580733,30185,7132,845,94101,['ITA.10_1']
