source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
JPN_C1JACD,28-03-2021,Japan,JPN,Toyama,,,40917,934,884,28,22,1,,['JPN.43_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Niigata,,,79987,1392,1187,17,188,1,,['JPN.29_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Kanagawa,,,680128,47745,46069,777,899,24,,['JPN.19_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Tokyo,,,1733095,119974,114993,1725,3256,41,,['JPN.41_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Chiba,,,470557,29337,27680,560,1097,23,,['JPN.4_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Saitama,,,635583,32467,30420,699,1348,37,,['JPN.35_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Gunma,,,110174,4943,4677,99,167,2,,['JPN.10_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Tochigi,,,170240,4545,4315,70,160,2,,['JPN.39_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Ibaraki,,,26008,6651,6182,126,343,1,,['JPN.14_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Yamagata,,,32888,865,576,16,273,0,,['JPN.45_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Miyagi,,,86294,5529,4223,29,1277,3,,['JPN.24_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Iwate,,,42993,608,543,30,35,0,,['JPN.16_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Aomori,,,24324,944,860,20,64,1,,['JPN.3_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Hokkaido,,,441400,20816,19286,743,751,14,,['JPN.12_1']
JPN_C1JACD,28-03-2021,Japan,JPN,,,,9104960,466081,439936,9058,16738,,,['JPN']
JPN_C1JACD,28-03-2021,Japan,JPN,Akita,,,7420,283,268,6,9,0,,['JPN.2_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Kagoshima,,,72126,1812,1763,28,37,0,,['JPN.18_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Miyazaki,,,24807,1954,1924,22,1,0,,['JPN.25_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Oita,,,91000,1305,1277,22,6,0,,['JPN.30_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Kumamoto,,,57975,3495,3405,74,21,1,,['JPN.21_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Naoasaki,,,76151,1627,1577,38,14,0,,['JPN.27_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Saga,,,31452,1181,1147,12,42,1,,['JPN.34_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Nara,,,93746,3660,3414,53,193,4,,['JPN.28_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Fukuoka,,,502328,18919,18194,331,394,7,,['JPN.7_1']
JPN_C1JACD,28-03-2021,Japan,JPN,Fukushima,,,141389,2415,2025,110,280,11,,['JPN.8_1']
