source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
KOR_DS4C,30-04-2020,South Korea,KOR,Chungcheongbuk-do,,,,45,41,0,,,,['KOR.2_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Incheon,,,,93,68,0,,,,['KOR.11_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Gangwon-do,,,,53,40,2,,,,['KOR.6_1']
KOR_DS4C,30-04-2020,South Korea,KOR,,,,619881,10765,9059,247,,,,['KOR']
KOR_DS4C,30-04-2020,South Korea,KOR,Gyeonggi-do,,,,676,486,15,,,,['KOR.8_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Sejong,,,,46,38,0,,,,['KOR.15_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Ulsan,,,,43,37,1,,,,['KOR.17_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Gwangju,,,,30,27,0,,,,['KOR.7_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Gyeongsangnam-do,,,,117,97,0,,,,['KOR.10_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Chungcheongnam-do,,,,143,127,0,,,,['KOR.3_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Seoul,,,,633,453,2,,,,['KOR.16_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Busan,,,,137,116,3,,,,['KOR.1_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Daegu,,,,6852,6144,172,,,,['KOR.4_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Daejeon,,,,40,35,0,,,,['KOR.5_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Jeju,,,,13,8,0,,,,['KOR.12_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Gyeongsangbuk-do,,,,1365,1147,52,,,,['KOR.9_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Jeollanam-do,,,,15,11,0,,,,['KOR.14_1']
KOR_DS4C,30-04-2020,South Korea,KOR,Jeollabuk-do,,,,18,11,0,,,,['KOR.13_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Gyeonggi-do,,,,676,481,15,,,,['KOR.8_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Chungcheongbuk-do,,,,45,40,0,,,,['KOR.2_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Seoul,,,,633,437,2,,,,['KOR.16_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Chungcheongnam-do,,,,143,123,0,,,,['KOR.3_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Jeollabuk-do,,,,18,10,0,,,,['KOR.13_1']
KOR_DS4C,29-04-2020,South Korea,KOR,Jeollanam-do,,,,15,10,0,,,,['KOR.14_1']
