source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
LAT_DSRP,25-02-2020,Dominican Republic,DOM,María Trinidad Sánchez,,,,,,,,,,['DOM.15_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Veracruz,,,,,,,,,,['MEX.30_1']
LAT_DSRP,25-02-2020,Colombia,COL,Chocó,,,,,,,,,,['COL.12_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Puebla,,,,,,,,,,['MEX.21_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Oaxaca,,,,,,,,,,['MEX.20_1']
LAT_DSRP,25-02-2020,Argentina,ARG,Formosa,,,,,,,,,,['ARG.9_1']
LAT_DSRP,25-02-2020,Colombia,COL,Caquetá,,,,,,,,,,['COL.8_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,Samaná,,,,,,,,,,['DOM.23_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,La Altagracia,,,,,,,,,,['DOM.11_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,San Juan,,,,,,,,,,['DOM.26_1']
LAT_DSRP,25-02-2020,Brazil,BRA,Ceará,,,,,,,,,,['BRA.6_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,Santo Domingo,,,,,,,,,,['DOM.31_1']
LAT_DSRP,25-02-2020,Ecuador,ECU,Zamora Chinchipe,,,,,,,,,,['ECU.24_1']
LAT_DSRP,25-02-2020,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,,,['CHL.8_1']
LAT_DSRP,25-02-2020,Argentina,ARG,Santiago del Estero,,,,,,,,,,['ARG.22_1']
LAT_DSRP,25-02-2020,Colombia,COL,Meta,,,,,,,,,,['COL.20_1']
LAT_DSRP,25-02-2020,Colombia,COL,Casanare,,,,,,,,,,['COL.9_1']
LAT_DSRP,25-02-2020,Peru,PER,Tacna,,,,,,,,,,['PER.24_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Guanajuato,,,,,,,,,,['MEX.11_1']
LAT_DSRP,25-02-2020,Ecuador,ECU,Carchi,,,,,,,,,,['ECU.4_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,Independencia,,,,,,,,,,['DOM.10_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,Santiago Rodríguez,,,,,,,,,,['DOM.29_1']
LAT_DSRP,25-02-2020,Brazil,BRA,Bahia,,,,,,,,,,['BRA.5_1']
LAT_DSRP,25-02-2020,Dominican Republic,DOM,Espaillat,,,,,,,,,,['DOM.8_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Hidalgo,,,,,,,,,,['MEX.13_1']
LAT_DSRP,25-02-2020,Ecuador,ECU,Tungurahua,,,,,,,,,,['ECU.23_1']
LAT_DSRP,25-02-2020,Mexico,MEX,Guerrero,,,,,,,,,,['MEX.12_1']
