source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
MYS_MHYS,24-01-2020,Malaysia,MYS,,,,,0,,0,0,,,['MYS']
MYS_MHYS,13-03-2020,Malaysia,MYS,ARS Selangor,,,,87,,,,,,['MYS.5_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Johor,,,,20,,,,,,['MYS.8_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Kedah,,,,5,,,,,,['MYS.2_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Kelantan,,,,3,,,,,,['MYS.11_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Kuala Lumpur,,,,40,,,,,,['MYS.14_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Melaka,,,,1,,,,,,['MYS.7_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Negeri Sembilan,,,,11,,,,,,['MYS.6_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Pahang,,,,2,,,,,,['MYS.9_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Perak,,,,2,,,,,,['MYS.4_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Perlis,,,,1,,,,,,['MYS.1_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Pulau Pinang,,,,7,,,,,,['MYS.3_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Sabah,,,,15,,,,,,['MYS.12_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Sarawak,,,,0,,,,,,['MYS.13_1']
MYS_MHYS,13-03-2020,Malaysia,MYS,Trengganu,,,,0,,,,,,['MYS.10_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,ARS Selangor,,,,92,,,,,,['MYS.5_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Johor,,,,22,,,,,,['MYS.8_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Kedah,,,,5,,,,,,['MYS.2_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Kelantan,,,,3,,,,,,['MYS.11_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Kuala Lumpur,,,,43,,,,,,['MYS.14_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Melaka,,,,6,,,,,,['MYS.7_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Negeri Sembilan,,,,19,,,,,,['MYS.6_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Pahang,,,,2,,,,,,['MYS.9_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Perak,,,,2,,,,,,['MYS.4_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Perlis,,,,2,,,,,,['MYS.1_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Pulau Pinang,,,,7,,,,,,['MYS.3_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Sabah,,,,26,,,,,,['MYS.12_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Sarawak,,,,6,,,,,,['MYS.13_1']
MYS_MHYS,14-03-2020,Malaysia,MYS,Trengganu,,,,0,,,,,,['MYS.10_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,ARS Selangor,,,,,,,,,,['MYS.5_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Johor,,,,,,,,,,['MYS.8_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Kedah,,,,,,,,,,['MYS.2_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Kelantan,,,,,,,,,,['MYS.11_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Kuala Lumpur,,,,,,,,,,['MYS.14_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Melaka,,,,,,,,,,['MYS.7_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Negeri Sembilan,,,,,,,,,,['MYS.6_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Pahang,,,,,,,,,,['MYS.9_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Perak,,,,,,,,,,['MYS.4_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Perlis,,,,,,,,,,['MYS.1_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Pulau Pinang,,,,,,,,,,['MYS.3_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Sabah,,,,,,,,,,['MYS.12_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Sarawak,,,,,,,,,,['MYS.13_1']
MYS_MHYS,15-03-2020,Malaysia,MYS,Trengganu,,,,,,,,,,['MYS.10_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,ARS Selangor,,,,144,,,,,,['MYS.5_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Johor,,,,52,,,,,,['MYS.8_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Kedah,,,,31,,,,,,['MYS.2_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Kelantan,,,,18,,,,,,['MYS.11_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Kuala Lumpur,,,,106,,,,,,['MYS.14_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Melaka,,,,14,,,,,,['MYS.7_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Negeri Sembilan,,,,42,,,,,,['MYS.6_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Pahang,,,,19,,,,,,['MYS.9_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Perak,,,,18,,,,,,['MYS.4_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Perlis,,,,8,,,,,,['MYS.1_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Pulau Pinang,,,,15,,,,,,['MYS.3_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Sabah,,,,57,,,,,,['MYS.12_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Sarawak,,,,21,,,,,,['MYS.13_1']
MYS_MHYS,16-03-2020,Malaysia,MYS,Trengganu,,,,4,,,,,,['MYS.10_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,ARS Selangor,,,,161,,,,,,['MYS.5_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Johor,,,,77,,,,,,['MYS.8_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Kedah,,,,31,,,,,,['MYS.2_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Kelantan,,,,25,,,,,,['MYS.11_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Kuala Lumpur,,,,113,,,,,,['MYS.14_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Melaka,,,,17,,,,,,['MYS.7_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Negeri Sembilan,,,,45,,,,,,['MYS.6_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Pahang,,,,28,,,,,,['MYS.9_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Perak,,,,23,,,,,,['MYS.4_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Perlis,,,,8,,,,,,['MYS.1_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Pulau Pinang,,,,23,,,,,,['MYS.3_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Sabah,,,,82,,,,,,['MYS.12_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Sarawak,,,,29,,,,,,['MYS.13_1']
MYS_MHYS,17-03-2020,Malaysia,MYS,Trengganu,,,,7,,,,,,['MYS.10_1']
