source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
NGA_HERA,09-02-2021,Nigeria,NGA,Rivers,,,,202,,47,,,,['NGA.33_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Taraba,,,,204,,0,,,,['NGA.35_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Yobe,,,,205,,0,,,,['NGA.36_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Zamfara,,,,206,,0,,,,['NGA.37_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Unknown,,,,207,21,0,,,,
NGA_HERA,09-02-2021,Nigeria,NGA,Plateau,,,,201,,88,,,,['NGA.32_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Oyo,,,,200,,23,,,,['NGA.31_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Ondo,,,,199,,57,,,,['NGA.29_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Osun,,,,198,,120,,,,['NGA.30_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Ogun,,,,197,,8,,,,['NGA.28_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Niger,,,,196,,0,,,,['NGA.27_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Nassarawa,,,,195,,13,,,,['NGA.26_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Lagos,,,,194,,214,,,,['NGA.25_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Kwara,,,,193,,73,,,,['NGA.24_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Kogi,,,,192,,0,,,,['NGA.23_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Kebbi,,,,191,,0,,,,['NGA.22_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Katsina,,,,190,,18,,,,['NGA.21_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Kano,,,,189,,22,,,,['NGA.20_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Kaduna,,,,188,,0,,,,['NGA.19_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Jigawa,,,,187,,1,,,,['NGA.18_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Imo,,,,186,,0,,,,['NGA.17_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Gombe,,,,185,,70,,,,['NGA.16_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Federal Capital Territory,,,,184,,116,,,,['NGA.15_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Enugu,,,,183,,0,,,,['NGA.14_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Ekiti,,,,182,,8,,,,['NGA.13_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Edo,,,,181,,25,,,,['NGA.12_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Ebonyi,,,,180,,75,,,,['NGA.11_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Delta,,,,179,,19,,,,['NGA.10_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Cross River,,,,178,,0,,,,['NGA.9_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Borno,,,,177,,16,,,,['NGA.8_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Benue,,,,176,,1,,,,['NGA.7_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Bayelsa,,,,175,,0,,,,['NGA.6_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Bauchi,,,,174,,4,,,,['NGA.5_1']
NGA_HERA,09-02-2021,Nigeria,NGA,Anambra,,,,173,,0,,,,['NGA.4_1']
