source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
NGA_SO,08-07-2020,Nigeria,NGA,,,,169629,29789,12108,669,,,,['NGA']
NGA_SO,07-07-2020,Nigeria,NGA,,,,152952,29286,11828,654,,,,['NGA']
NGA_SO,06-07-2020,Nigeria,NGA,,,,151121,28711,11665,645,,,,['NGA']
NGA_SO,05-07-2020,Nigeria,NGA,,,,148188,28167,11462,634,,,,['NGA']
NGA_SO,04-07-2020,Nigeria,NGA,,,,148188,27564,11069,628,,,,['NGA']
NGA_SO,03-07-2020,Nigeria,NGA,,,,141525,27110,10801,616,,,,['NGA']
NGA_SO,02-07-2020,Nigeria,NGA,,,,138462,26484,10152,603,,,,['NGA']
NGA_SO,01-07-2020,Nigeria,NGA,,,,134257,25694,9746,590,,,,['NGA']
NGA_SO,30-06-2020,Nigeria,NGA,,,,134257,25133,9402,573,,,,['NGA']
NGA_SO,29-06-2020,Nigeria,NGA,,,,130164,24567,9007,565,,,,['NGA']
NGA_SO,28-06-2020,Nigeria,NGA,,,,127158,24077,8625,558,,,,['NGA']
NGA_SO,27-06-2020,Nigeria,NGA,,,,125090,23298,8253,554,,,,['NGA']
NGA_SO,26-06-2020,Nigeria,NGA,,,,125090,22614,7822,549,,,,['NGA']
NGA_SO,25-06-2020,Nigeria,NGA,,,,122155,22020,7613,542,,,,['NGA']
NGA_SO,24-06-2020,Nigeria,NGA,,,,117569,21371,7338,533,,,,['NGA']
NGA_SO,23-06-2020,Nigeria,NGA,,,,115760,20919,7109,525,,,,['NGA']
NGA_SO,22-06-2020,Nigeria,NGA,,,,113575,20244,6879,518,,,,['NGA']
NGA_SO,21-06-2020,Nigeria,NGA,,,,111052,19808,6718,506,,,,['NGA']
NGA_SO,20-06-2020,Nigeria,NGA,,,,108548,19147,6581,487,,,,['NGA']
NGA_SO,19-06-2020,Nigeria,NGA,,,,106006,18480,6307,475,,,,['NGA']
NGA_SO,18-06-2020,Nigeria,NGA,,,,103799,17735,5967,469,,,,['NGA']
NGA_SO,17-06-2020,Nigeria,NGA,,,,103799,17148,5623,455,,,,['NGA']
NGA_SO,16-06-2020,Nigeria,NGA,,,,96402,16658,5349,424,,,,['NGA']
NGA_SO,15-06-2020,Nigeria,NGA,,,,92924,16085,5220,420,,,,['NGA']
NGA_SO,14-06-2020,Nigeria,NGA,,,,90464,15682,5101,407,,,,['NGA']
NGA_SO,13-06-2020,Nigeria,NGA,,,,88432,15181,4891,399,,,,['NGA']
NGA_SO,12-06-2020,Nigeria,NGA,,,,85375,14554,4494,387,,,,['NGA']
NGA_SO,11-06-2020,Nigeria,NGA,,,,85375,13873,4351,382,,,,['NGA']
NGA_SO,10-06-2020,Nigeria,NGA,,,,82935,13464,4206,365,,,,['NGA']
