source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
NLD_CW,08-07-2020,Netherlands,NLD,,,,,50746,,6135,11889,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Gelderland,,,,6627,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Noord-Brabant,,,,9838,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Overijssel,,,,3129,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Drenthe,,,,533,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Groningen,,,,365,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Zuid-Holland,,,,11494,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,,,,,50694,,6132,11886,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Friesland,,,,637,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Noord-Holland,,,,7361,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Utrecht,,,,4075,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Limburg,,,,4903,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Flevoland,,,,989,,,,,,['NLD']
NLD_CW,07-07-2020,Netherlands,NLD,Zeeland,,,,743,,,,,,['NLD']
NLD_CW,06-07-2020,Netherlands,NLD,,,,,50657,,6128,11884,,,['NLD']
NLD_CW,05-07-2020,Netherlands,NLD,,,,,50621,,6127,11884,,,['NLD']
NLD_CW,04-07-2020,Netherlands,NLD,,,,,50548,,6126,11883,,,['NLD']
NLD_CW,03-07-2020,Netherlands,NLD,,,,,50487,,6120,11882,,,['NLD']
NLD_CW,02-07-2020,Netherlands,NLD,,,,,50412,,6118,11878,,,['NLD']
NLD_CW,01-07-2020,Netherlands,NLD,,,,,50335,,6115,11878,,,['NLD']
NLD_CW,30-06-2020,Netherlands,NLD,Flevoland,,,,985,,,,,,['NLD']
