source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
NLD_WY,27-02-2020,Netherlands,NLD,,,,,1,,,,,,['NLD']
NLD_WY,28-02-2020,Netherlands,NLD,,,,,2,,,,,,['NLD']
NLD_WY,29-02-2020,Netherlands,NLD,,,,,7,,,,,,['NLD']
NLD_WY,01-03-2020,Netherlands,NLD,,,,,10,,,,,,['NLD']
NLD_WY,02-03-2020,Netherlands,NLD,,,,,18,,,,,,['NLD']
NLD_WY,03-03-2020,Netherlands,NLD,,,,,24,,,,,,['NLD']
NLD_WY,04-03-2020,Netherlands,NLD,,,,,38,,,,,,['NLD']
NLD_WY,05-03-2020,Netherlands,NLD,,,,,82,,,,,,['NLD']
NLD_WY,06-03-2020,Netherlands,NLD,,,,,128,,1,,,,['NLD']
NLD_WY,07-03-2020,Netherlands,NLD,,,,,188,,1,,,,['NLD']
NLD_WY,08-03-2020,Netherlands,NLD,,,,,265,,3,,,,['NLD']
NLD_WY,09-03-2020,Netherlands,NLD,,,,,321,,3,,,,['NLD']
NLD_WY,10-03-2020,Netherlands,NLD,,,,,382,,4,,,,['NLD']
NLD_WY,11-03-2020,Netherlands,NLD,,,,,503,,5,,,,['NLD']
NLD_WY,12-03-2020,Netherlands,NLD,,,,,613,,5,86,,,['NLD']
NLD_WY,13-03-2020,Netherlands,NLD,,,,,804,,10,115,,,['NLD']
NLD_WY,14-03-2020,Netherlands,NLD,,,,,959,,12,136,,,['NLD']
NLD_WY,15-03-2020,Netherlands,NLD,,,,,1135,,20,162,,,['NLD']
NLD_WY,16-03-2020,Netherlands,NLD,,,,,1413,,24,205,,,['NLD']
NLD_WY,17-03-2020,Netherlands,NLD,,,,,1703,,43,314,,,['NLD']
NLD_WY,18-03-2020,Netherlands,NLD,,,,,2051,,58,408,,,['NLD']
NLD_WY,19-03-2020,Netherlands,NLD,,,,,2460,,76,489,,,['NLD']
NLD_WY,20-03-2020,Netherlands,NLD,,,,,2994,,106,634,,,['NLD']
NLD_WY,21-03-2020,Netherlands,NLD,,,,,3631,,136,836,,,['NLD']
NLD_WY,22-03-2020,Netherlands,NLD,,,,,4204,,179,988,,,['NLD']
NLD_WY,23-03-2020,Netherlands,NLD,,,,,4749,,213,1230,,,['NLD']
NLD_WY,24-03-2020,Netherlands,NLD,,,,,5560,,276,1495,,,['NLD']
NLD_WY,25-03-2020,Netherlands,NLD,,,,,6412,,356,1836,,,['NLD']
NLD_WY,26-03-2020,Netherlands,NLD,,,,,7431,,434,2151,,,['NLD']
NLD_WY,27-03-2020,Netherlands,NLD,,,,,8603,,546,2500,,,['NLD']
NLD_WY,28-03-2020,Netherlands,NLD,,,,,9762,,639,2954,,,['NLD']
NLD_WY,29-03-2020,Netherlands,NLD,,,,,10866,,771,3483,,,['NLD']
NLD_WY,30-03-2020,Netherlands,NLD,,,,,11750,,864,3990,,,['NLD']
NLD_WY,31-03-2020,Netherlands,NLD,,,,,12595,,1039,4712,,,['NLD']
NLD_WY,01-04-2020,Netherlands,NLD,,,,,13614,,1173,5159,,,['NLD']
NLD_WY,02-04-2020,Netherlands,NLD,,,,,14697,,1339,5784,,,['NLD']
NLD_WY,03-04-2020,Netherlands,NLD,,,,,15723,,1487,6286,,,['NLD']
NLD_WY,04-04-2020,Netherlands,NLD,,,,,16627,,1651,6622,,,['NLD']
NLD_WY,05-04-2020,Netherlands,NLD,,,,,17851,,1766,6875,,,['NLD']
NLD_WY,06-04-2020,Netherlands,NLD,,,,,18803,,1867,7135,,,['NLD']
NLD_WY,07-04-2020,Netherlands,NLD,,,,,19580,,2101,7427,,,['NLD']
NLD_WY,08-04-2020,Netherlands,NLD,,,,,20549,,2248,7735,,,['NLD']
NLD_WY,09-04-2020,Netherlands,NLD,,,,,21762,,2396,7972,,,['NLD']
NLD_WY,10-04-2020,Netherlands,NLD,,,,,23097,,2511,8197,,,['NLD']
NLD_WY,11-04-2020,Netherlands,NLD,,,,,24413,,2643,8386,,,['NLD']
NLD_WY,12-04-2020,Netherlands,NLD,,,,,25587,,2737,8582,,,['NLD']
NLD_WY,13-04-2020,Netherlands,NLD,,,,,26551,,2823,8729,,,['NLD']
NLD_WY,14-04-2020,Netherlands,NLD,,,,,27419,,2945,8939,,,['NLD']
NLD_WY,15-04-2020,Netherlands,NLD,,,,,28153,,3134,9127,,,['NLD']
NLD_WY,16-04-2020,Netherlands,NLD,,,,,29214,,3315,9309,,,['NLD']
NLD_WY,17-04-2020,Netherlands,NLD,,,,,30449,,3459,9465,,,['NLD']
