source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
PAK_GOV,02-07-2020,Pakistan,PAK,Northern Areas,,,,1524,1173,28,,,,['PAK.6_1']
PAK_GOV,02-07-2020,Pakistan,PAK,Azad Kashmir,,,,1160,686,33,,,,['PAK.1_1']
PAK_GOV,02-07-2020,Pakistan,PAK,N.W.F.P.,,,,27170,14715,983,,,,['PAK.5_1']
PAK_GOV,02-07-2020,Pakistan,PAK,Baluchistan,,,,10666,5073,122,,,,['PAK.2_1']
PAK_GOV,02-07-2020,Pakistan,PAK,Sind,,,,89225,49926,1437,,,,['PAK.8_1']
PAK_GOV,02-07-2020,Pakistan,PAK,F.C.T.,,,,13195,8264,129,,,,['PAK.4_1']
PAK_GOV,01-07-2020,Pakistan,PAK,N.W.F.P.,,,,26938,13584,973,,,,['PAK.5_1']
PAK_GOV,01-07-2020,Pakistan,PAK,F.C.T.,,,,13082,7850,129,,,,['PAK.4_1']
PAK_GOV,01-07-2020,Pakistan,PAK,Azad Kashmir,,,,1135,557,32,,,,['PAK.1_1']
PAK_GOV,01-07-2020,Pakistan,PAK,Northern Areas,,,,1511,1146,28,,,,['PAK.6_1']
PAK_GOV,01-07-2020,Pakistan,PAK,Sind,,,,86795,48527,1406,,,,['PAK.8_1']
PAK_GOV,01-07-2020,Pakistan,PAK,Baluchistan,,,,10608,4764,121,,,,['PAK.2_1']
PAK_GOV,30-06-2020,Pakistan,PAK,Northern Areas,,,,1489,1128,26,,,,['PAK.6_1']
PAK_GOV,30-06-2020,Pakistan,PAK,F.C.T.,,,,12912,7261,128,,,,['PAK.4_1']
PAK_GOV,30-06-2020,Pakistan,PAK,Baluchistan,,,,10476,4484,121,,,,['PAK.2_1']
PAK_GOV,30-06-2020,Pakistan,PAK,Azad Kashmir,,,,1093,550,30,,,,['PAK.1_1']
PAK_GOV,30-06-2020,Pakistan,PAK,Sind,,,,84640,46824,1377,,,,['PAK.8_1']
PAK_GOV,30-06-2020,Pakistan,PAK,N.W.F.P.,,,,26598,13067,951,,,,['PAK.5_1']
PAK_GOV,29-06-2020,Pakistan,PAK,F.C.T.,,,,12775,7261,128,,,,['PAK.4_1']
PAK_GOV,29-06-2020,Pakistan,PAK,Baluchistan,,,,10426,4197,119,,,,['PAK.2_1']
PAK_GOV,29-06-2020,Pakistan,PAK,Azad Kashmir,,,,1065,539,28,,,,['PAK.1_1']
PAK_GOV,29-06-2020,Pakistan,PAK,N.W.F.P.,,,,26115,12626,935,,,,['PAK.5_1']
PAK_GOV,29-06-2020,Pakistan,PAK,Northern Areas,,,,1470,1117,24,,,,['PAK.6_1']
PAK_GOV,29-06-2020,Pakistan,PAK,Sind,,,,81985,45616,1343,,,,['PAK.8_1']
PAK_GOV,28-06-2020,Pakistan,PAK,Northern Areas,,,,1442,1099,24,,,,['PAK.6_1']
PAK_GOV,28-06-2020,Pakistan,PAK,Sind,,,,80446,44523,1288,,,,['PAK.8_1']
PAK_GOV,28-06-2020,Pakistan,PAK,N.W.F.P.,,,,25778,12348,922,,,,['PAK.5_1']
PAK_GOV,28-06-2020,Pakistan,PAK,Baluchistan,,,,10355,3939,116,,,,['PAK.2_1']
PAK_GOV,28-06-2020,Pakistan,PAK,F.C.T.,,,,12643,6916,127,,,,['PAK.4_1']
PAK_GOV,28-06-2020,Pakistan,PAK,Azad Kashmir,,,,1049,520,28,,,,['PAK.1_1']
