source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
POL_GOV,19-01-2021,Poland,POL,Śląskie,Zawiercie,,,12,,2,,,,['POL.12.34_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Wodzisław,,,9,,5,,,,['POL.12.32_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Bieruń-Lędziny,,,6,,1,,,,['POL.12.4_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Tarnowskie Góry,,,10,,0,,,,['POL.12.30_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Rybnik,,,3,,1,,,,['POL.12.26_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Pszczyna,,,9,,0,,,,['POL.12.22_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Myszków,,,1,,1,,,,['POL.12.20_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Mikołów,,,6,,1,,,,['POL.12.18_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Lubliniec,,,4,,0,,,,['POL.12.17_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Kłobuck,,,4,,0,,,,['POL.12.16_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Gliwice,,,20,,1,,,,['POL.12.12_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Częstochowa,,,11,,2,,,,['POL.12.9_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Bielsko,,,21,,0,,,,['POL.12.3_1']
POL_GOV,19-01-2021,Poland,POL,Śląskie,Będzin,,,4,,0,,,,['POL.12.1_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Sopot,,,21,,0,,,,['POL.11.16_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Słupsk (City),,,23,,0,,,,['POL.11.14_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Gdynia,,,48,,4,,,,['POL.11.6_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Gdańsk (City),,,115,,3,,,,['POL.11.4_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Sztum,,,4,,2,,,,['POL.11.18_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Wejherowo,,,24,,0,,,,['POL.11.20_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Tczew,,,16,,6,,,,['POL.11.19_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Starogard,,,14,,0,,,,['POL.11.17_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Słupsk,,,33,,0,,,,['POL.11.15_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Puck,,,11,,0,,,,['POL.11.13_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Nowy Dwór Gdański,,,3,,0,,,,['POL.11.12_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Malbork,,,18,,1,,,,['POL.11.11_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Lębork,,,2,,0,,,,['POL.11.10_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Kwidzyn,,,5,,2,,,,['POL.11.9_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Kościerzyna,,,6,,0,,,,['POL.11.8_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Kartuzy,,,18,,1,,,,['POL.11.7_1']
POL_GOV,19-01-2021,Poland,POL,Pomorskie,Człuchów,,,14,,2,,,,['POL.11.3_1']
