source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
POL_WIKI,16-07-2020,Poland,POL,,,,90496,39054,436,1605,,,1886089,['POL']
POL_WIKI,15-07-2020,Poland,POL,,,,87698,38721,736,1594,,,1860592,['POL']
POL_WIKI,14-07-2020,Poland,POL,,,,86747,38457,241,1588,,,1835269,['POL']
POL_WIKI,13-07-2020,Poland,POL,,,,85610,38190,367,1576,,,1813365,['POL']
POL_WIKI,12-07-2020,Poland,POL,,,,86168,37891,513,1571,,,1797612,['POL']
POL_WIKI,11-07-2020,Poland,POL,,,,86915,37521,587,1568,,,1779643,['POL']
POL_WIKI,10-07-2020,Poland,POL,Małopolskie,,,,1966,,,,,,['POL.6_1']
POL_WIKI,10-07-2020,Poland,POL,Lubelskie,,,,761,,,,,,['POL.4_1']
POL_WIKI,10-07-2020,Poland,POL,Łódzkie,,,,3357,,,,,,['POL.3_1']
POL_WIKI,10-07-2020,Poland,POL,Lubuskie,,,,179,,,,,,['POL.5_1']
POL_WIKI,10-07-2020,Poland,POL,Kujawsko-Pomorskie,,,,695,,,,,,['POL.2_1']
POL_WIKI,10-07-2020,Poland,POL,Dolnośląskie,,,,2970,,,,,,['POL.1_1']
POL_WIKI,10-07-2020,Poland,POL,Świętokrzyskie,,,,855,,,,,,['POL.13_1']
POL_WIKI,10-07-2020,Poland,POL,Pomorskie,,,,702,,,,,,['POL.11_1']
POL_WIKI,10-07-2020,Poland,POL,Podkarpackie,,,,841,,,,,,['POL.9_1']
POL_WIKI,10-07-2020,Poland,POL,Podlaskie,,,,897,,,,,,['POL.10_1']
POL_WIKI,10-07-2020,Poland,POL,Opolskie,,,,995,,,,,,['POL.8_1']
POL_WIKI,10-07-2020,Poland,POL,Mazowieckie,,,,5324,,,,,,['POL.7_1']
POL_WIKI,10-07-2020,Poland,POL,,,,86712,37216,571,1562,,,1744631,['POL']
POL_WIKI,10-07-2020,Poland,POL,Zachodniopomorskie,,,,631,,,,,,['POL.16_1']
POL_WIKI,10-07-2020,Poland,POL,Wielkopolskie,,,,3093,,,,,,['POL.15_1']
POL_WIKI,10-07-2020,Poland,POL,Warmińsko-Mazurskie,,,,280,,,,,,['POL.14_1']
POL_WIKI,10-07-2020,Poland,POL,Śląskie,,,,13671,,,,,,['POL.12_1']
POL_WIKI,09-07-2020,Poland,POL,Podkarpackie,,,,825,,,,,,['POL.9_1']
POL_WIKI,09-07-2020,Poland,POL,Dolnośląskie,,,,2957,,,,,,['POL.1_1']
POL_WIKI,09-07-2020,Poland,POL,Kujawsko-Pomorskie,,,,694,,,,,,['POL.2_1']
POL_WIKI,09-07-2020,Poland,POL,Lubuskie,,,,154,,,,,,['POL.5_1']
POL_WIKI,09-07-2020,Poland,POL,Łódzkie,,,,3341,,,,,,['POL.3_1']
POL_WIKI,09-07-2020,Poland,POL,Lubelskie,,,,748,,,,,,['POL.4_1']
POL_WIKI,09-07-2020,Poland,POL,Małopolskie,,,,1947,,,,,,['POL.6_1']
POL_WIKI,09-07-2020,Poland,POL,Wielkopolskie,,,,3076,,,,,,['POL.15_1']
POL_WIKI,09-07-2020,Poland,POL,Zachodniopomorskie,,,,623,,,,,,['POL.16_1']
POL_WIKI,09-07-2020,Poland,POL,Opolskie,,,,986,,,,,,['POL.8_1']
POL_WIKI,09-07-2020,Poland,POL,Podlaskie,,,,895,,,,,,['POL.10_1']
POL_WIKI,09-07-2020,Poland,POL,Mazowieckie,,,,5301,,,,,,['POL.7_1']
POL_WIKI,09-07-2020,Poland,POL,,,,85955,36951,599,1551,,,1720428,['POL']
