source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
PRT_MSDS,26-02-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,26-02-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,26-02-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,26-02-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,26-02-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,26-02-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,26-02-2020,Portugal,PRT,ARS Norte,,,,,,,,,,['PRT.1_1']
PRT_MSDS,26-02-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,26-02-2020,Portugal,PRT,,,,,,,,,,,['PRT']
PRT_MSDS,27-02-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,27-02-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,27-02-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,27-02-2020,Portugal,PRT,,,,,,,,,,,['PRT']
PRT_MSDS,27-02-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,27-02-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,27-02-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,27-02-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,27-02-2020,Portugal,PRT,ARS Norte,,,,,,,,,,['PRT.1_1']
PRT_MSDS,28-02-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,28-02-2020,Portugal,PRT,,,,,,,,,,,['PRT']
PRT_MSDS,28-02-2020,Portugal,PRT,ARS Norte,,,,,,,,,,['PRT.1_1']
PRT_MSDS,28-02-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,28-02-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,28-02-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,28-02-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,28-02-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,28-02-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,29-02-2020,Portugal,PRT,,,,,,,,,,,['PRT']
PRT_MSDS,29-02-2020,Portugal,PRT,ARS Norte,,,,,,,,,,['PRT.1_1']
PRT_MSDS,29-02-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,29-02-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,29-02-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,29-02-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,29-02-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,29-02-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,29-02-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,01-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,01-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,01-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,01-03-2020,Portugal,PRT,ARS Norte,,,,,,,,,,['PRT.1_1']
PRT_MSDS,01-03-2020,Portugal,PRT,,,,,,,,,,,['PRT']
PRT_MSDS,01-03-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,01-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,01-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,01-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,02-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,02-03-2020,Portugal,PRT,,,,,2,,,,,,['PRT']
PRT_MSDS,02-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,02-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,02-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,02-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,02-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,,,,,,,['PRT.3_1']
PRT_MSDS,02-03-2020,Portugal,PRT,ARS Centro,,,,,,,,,,['PRT.2_1']
PRT_MSDS,02-03-2020,Portugal,PRT,ARS Norte,,,,2,,,,,,['PRT.1_1']
PRT_MSDS,03-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,1,,,,,,['PRT.3_1']
PRT_MSDS,03-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,03-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,03-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,03-03-2020,Portugal,PRT,,,,,4,,,,,,['PRT']
PRT_MSDS,03-03-2020,Portugal,PRT,ARS Norte,,,,2,,,,,,['PRT.1_1']
PRT_MSDS,03-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,03-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,03-03-2020,Portugal,PRT,ARS Centro,,,,1,,,,,,['PRT.2_1']
PRT_MSDS,04-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,04-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,2,,,,,,['PRT.3_1']
PRT_MSDS,04-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,04-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,04-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,04-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,04-03-2020,Portugal,PRT,ARS Norte,,,,3,,,,,,['PRT.1_1']
PRT_MSDS,04-03-2020,Portugal,PRT,,,,,6,,,,,,['PRT']
PRT_MSDS,04-03-2020,Portugal,PRT,ARS Centro,,,,1,,,,,,['PRT.2_1']
PRT_MSDS,05-03-2020,Portugal,PRT,ARS Centro,,,,1,,,,,,['PRT.2_1']
PRT_MSDS,05-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,05-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,05-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,05-03-2020,Portugal,PRT,,,,,9,,,9,,,['PRT']
PRT_MSDS,05-03-2020,Portugal,PRT,ARS Norte,,,,5,,,,,,['PRT.1_1']
PRT_MSDS,05-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,3,,,,,,['PRT.3_1']
PRT_MSDS,05-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,05-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,06-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,06-03-2020,Portugal,PRT,,,,,13,,,13,,,['PRT']
PRT_MSDS,06-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,06-03-2020,Portugal,PRT,ARS Algarve,,,,,,,,,,['PRT.5_1']
PRT_MSDS,06-03-2020,Portugal,PRT,Região Autónoma dos Açores,,,,,,,,,,['PRT.6_1']
PRT_MSDS,06-03-2020,Portugal,PRT,ARS Norte,,,,8,,,,,,['PRT.1_1']
PRT_MSDS,06-03-2020,Portugal,PRT,ARS Centro,,,,1,,,,,,['PRT.2_1']
PRT_MSDS,06-03-2020,Portugal,PRT,ARS Lisboa e Vale do Tejo,,,,4,,,,,,['PRT.3_1']
PRT_MSDS,06-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
PRT_MSDS,07-03-2020,Portugal,PRT,Região Autónoma da Madeira,,,,,,,,,,['PRT.7_1']
PRT_MSDS,07-03-2020,Portugal,PRT,ARS Alentejo,,,,,,,,,,['PRT.4_1']
PRT_MSDS,07-03-2020,Portugal,PRT,,,,,21,,,21,,,['PRT']
PRT_MSDS,07-03-2020,Portugal,PRT,estrangeiro,,,,,,,,,,['PRT.8_1']
