source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
RUS_GOV,30-08-2021,Russia,RUS,Kalmyk,,,,27992,24778,536,,,,['RUS.22_1']
RUS_GOV,30-08-2021,Russia,RUS,Kemerovo,,,,51521,48878,1134,,,,['RUS.27_1']
RUS_GOV,30-08-2021,Russia,RUS,Yaroslavl',,,,55595,47545,1014,,,,['RUS.81_1']
RUS_GOV,30-08-2021,Russia,RUS,Tambov,,,,40460,38365,784,,,,['RUS.67_1']
RUS_GOV,30-08-2021,Russia,RUS,Amur,,,,31781,26580,392,,,,['RUS.3_1']
RUS_GOV,30-08-2021,Russia,RUS,Karelia,,,,60784,57563,773,,,,['RUS.26_1']
RUS_GOV,30-08-2021,Russia,RUS,Maga Buryatdan,,,,10318,9311,222,,,,['RUS.40_1']
RUS_GOV,30-08-2021,Russia,RUS,Kursk,,,,52073,47095,1269,,,,['RUS.37_1']
RUS_GOV,30-08-2021,Russia,RUS,Leningrad,,,,62892,49818,2408,,,,['RUS.38_1']
RUS_GOV,30-08-2021,Russia,RUS,Yamal-Nenets,,,,47454,45471,612,,,,['RUS.80_1']
RUS_GOV,30-08-2021,Russia,RUS,Kirov,,,,53930,49772,478,,,,['RUS.31_1']
RUS_GOV,30-08-2021,Russia,RUS,Altay,,,,70179,53216,3553,,,,['RUS.2_1']
RUS_GOV,30-08-2021,Russia,RUS,Astrakhan',,,,52004,40052,1423,,,,['RUS.5_1']
RUS_GOV,30-08-2021,Russia,RUS,Tver',,,,60472,53714,1533,,,,['RUS.72_1']
RUS_GOV,30-08-2021,Russia,RUS,Zabaykal'ye,,,,63598,55723,1054,,,,['RUS.83_1']
RUS_GOV,30-08-2021,Russia,RUS,Krasnoyarsk,,,,104631,90877,5125,,,,['RUS.35_1']
RUS_GOV,30-08-2021,Russia,RUS,Kurgan,,,,29657,25973,600,,,,['RUS.36_1']
RUS_GOV,30-08-2021,Russia,RUS,Tula,,,,51248,43707,2699,,,,['RUS.70_1']
RUS_GOV,30-08-2021,Russia,RUS,Kaluga,,,,44880,41225,586,,,,['RUS.23_1']
RUS_GOV,30-08-2021,Russia,RUS,Rostov,,,,123930,107106,5959,,,,['RUS.58_1']
RUS_GOV,30-08-2021,Russia,RUS,Chechnya,,,,20352,17576,481,,,,['RUS.10_1']
RUS_GOV,30-08-2021,Russia,RUS,Khakass,,,,35233,31185,938,,,,['RUS.29_1']
RUS_GOV,30-08-2021,Russia,RUS,Gorno-Altay,,,,20652,19231,309,,,,['RUS.16_1']
RUS_GOV,30-08-2021,Russia,RUS,Novgorod,,,,40335,37177,356,,,,['RUS.49_1']
RUS_GOV,30-08-2021,Russia,RUS,Sakhalin,,,,30503,28943,212,,,,['RUS.61_1']
RUS_GOV,30-08-2021,Russia,RUS,Sakha,,,,48900,41702,1052,,,,['RUS.60_1']
RUS_GOV,30-08-2021,Russia,RUS,Tyumen',,,,54662,48327,1432,,,,['RUS.73_1']
RUS_GOV,30-08-2021,Russia,RUS,Voronezh,,,,118098,102668,3974,,,,['RUS.79_1']
RUS_GOV,30-08-2021,Russia,RUS,Mariy-El,,,,17910,16041,493,,,,['RUS.41_1']
RUS_GOV,30-08-2021,Russia,RUS,Chuvash,,,,31610,28689,2001,,,,['RUS.13_1']
RUS_GOV,30-08-2021,Russia,RUS,,,,,6901152,6162430,182429,,,,['RUS']
RUS_GOV,30-08-2021,Russia,RUS,Karachay-Cherkess,,,,23985,21560,457,,,,['RUS.25_1']
RUS_GOV,30-08-2021,Russia,RUS,Kabardin-Balkar,,,,29641,27641,707,,,,['RUS.20_1']
RUS_GOV,30-08-2021,Russia,RUS,Penza,,,,63294,51513,2140,,,,['RUS.54_1']
RUS_GOV,30-08-2021,Russia,RUS,Khanty-Mansiy,,,,70399,66518,1058,,,,['RUS.30_1']
RUS_GOV,30-08-2021,Russia,RUS,Ivanovo,,,,45091,41416,1471,,,,['RUS.19_1']
RUS_GOV,30-08-2021,Russia,RUS,Smolensk,,,,45398,40746,1490,,,,['RUS.64_1']
RUS_GOV,30-08-2021,Russia,RUS,Orenburg,,,,66796,55092,1536,,,,['RUS.53_1']
RUS_GOV,30-08-2021,Russia,RUS,Lipetsk,,,,46659,39941,1392,,,,['RUS.39_1']
RUS_GOV,30-08-2021,Russia,RUS,Krasnodar,,,,66720,49234,5200,,,,['RUS.34_1']
RUS_GOV,30-08-2021,Russia,RUS,Sverdlovsk,,,,123067,113626,5163,,,,['RUS.66_1']
RUS_GOV,30-08-2021,Russia,RUS,Dagestan,,,,47576,42932,2198,,,,['RUS.15_1']
RUS_GOV,30-08-2021,Russia,RUS,Nizhegorod,,,,155643,142718,5812,,,,['RUS.47_1']
RUS_GOV,30-08-2021,Russia,RUS,Moskva,,,,421525,362227,7766,,,,['RUS.44_1']
RUS_GOV,30-08-2021,Russia,RUS,Adygey,,,,18020,16090,341,,,,['RUS.1_1']
RUS_GOV,30-08-2021,Russia,RUS,Chelyabinsk,,,,84584,74406,2724,,,,['RUS.11_1']
RUS_GOV,30-08-2021,Russia,RUS,Moscow City,,,,1566376,1444794,27401,,,,['RUS.43_1']
RUS_GOV,30-08-2021,Russia,RUS,Bashkortostan,,,,56748,51761,1101,,,,['RUS.6_1']
RUS_GOV,30-08-2021,Russia,RUS,Udmurt,,,,46118,37716,1546,,,,['RUS.74_1']
