source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Ash Sharqiyah,,,,117258,115796,1289,,,,['SAU.8_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Jizan,,,,20888,20002,642,,,,['SAU.10_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Tabuk,,,,8455,8184,110,,,,['SAU.13_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,`Asir,,,,40779,39912,629,,,,['SAU.1_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Ar Riyad,,,,129781,127742,1546,,,,['SAU.7_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Al Quassim,,,,21415,20777,284,,,,['SAU.6_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Ha'il,,,,11639,11340,214,,,,['SAU.9_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Al Hudud ash Shamaliyah,,,,5180,4831,112,,,,['SAU.3_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Najran,,,,10547,10262,108,,,,['SAU.12_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Al Bahah,,,,7118,6973,92,,,,['SAU.2_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Al Jawf,,,,2625,2443,119,,,,['SAU.4_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Makkah,,,,129356,125836,3087,,,,['SAU.11_1']
SAU_GOV,30-08-2021,Saudi Arabia,SAU,Al Madinah,,,,39184,38414,307,,,,['SAU.5_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,`Asir,,,,40764,39889,629,,,,['SAU.1_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Tabuk,,,,8450,8175,110,,,,['SAU.13_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Jizan,,,,20868,19965,641,,,,['SAU.10_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Al Bahah,,,,7117,6970,92,,,,['SAU.2_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Najran,,,,10538,10244,108,,,,['SAU.12_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Al Hudud ash Shamaliyah,,,,5177,4824,112,,,,['SAU.3_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Ha'il,,,,11631,11327,214,,,,['SAU.9_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Al Quassim,,,,21396,20737,284,,,,['SAU.6_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Ar Riyad,,,,129715,127654,1545,,,,['SAU.7_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Al Madinah,,,,39169,38370,307,,,,['SAU.5_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Makkah,,,,129320,125774,3083,,,,['SAU.11_1']
SAU_GOV,29-08-2021,Saudi Arabia,SAU,Al Jawf,,,,2622,2436,119,,,,['SAU.4_1']
