source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
SWE_SIR,02-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,06-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,08-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,09-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,11-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,12-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,14-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,15-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,16-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,17-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,18-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,19-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,21-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,22-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,23-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,24-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,25-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,26-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,27-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,28-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,29-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,30-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,31-07-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,01-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,02-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,06-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-08-2018,Sweden,SWE,Värmland,,,,,,,,,,['SWE.17_1']
SWE_SIR,08-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,09-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-08-2018,Sweden,SWE,Orebro,,,,,,,,,,['SWE.11_1']
SWE_SIR,11-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,12-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,14-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,15-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,16-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,17-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,18-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,19-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,21-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,22-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,23-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,24-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,25-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,26-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,27-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,28-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,29-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,30-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,31-08-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,01-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,02-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,06-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,08-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,09-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,11-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,12-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,14-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,15-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,16-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,17-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,18-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,19-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,21-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,22-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,23-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,24-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,25-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,26-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,27-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,28-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,29-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,30-09-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,01-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,02-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,06-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,08-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,09-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,11-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,12-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,14-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,15-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,16-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,17-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,18-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,19-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,21-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,22-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,23-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,24-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,25-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,26-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,27-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,28-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,29-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,30-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,31-10-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,01-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,02-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-11-2018,Sweden,SWE,Skåne,,,,,,,,,,['SWE.13_1']
SWE_SIR,06-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,08-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,09-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,10-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,11-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,12-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,13-11-2018,Sweden,SWE,Orebro,,,,,,,,,,['SWE.11_1']
SWE_SIR,13-11-2018,Sweden,SWE,Skåne,,,,,,,,,,['SWE.13_1']
SWE_SIR,14-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,15-11-2018,Sweden,SWE,Östergötland,,,,,,,,,,['SWE.12_1']
SWE_SIR,15-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,16-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,17-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,18-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,19-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,20-11-2018,Sweden,SWE,Stockholm,,,,,,,,,,['SWE.15_1']
SWE_SIR,21-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,22-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,23-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,24-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,25-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,26-11-2018,Sweden,SWE,Västra Götaland,,,,,,,,,,['SWE.21_1']
SWE_SIR,26-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,27-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,28-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,29-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,30-11-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,01-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,02-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,03-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,04-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,05-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,06-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-12-2018,Sweden,SWE,Västmanland,,,,,,,,,,['SWE.20_1']
SWE_SIR,07-12-2018,Sweden,SWE,,,,,,,,,,,['SWE']
SWE_SIR,07-12-2018,Sweden,SWE,Västra Götaland,,,,,,,,,,['SWE.21_1']
