source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
THA_STAT,01-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,02-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,03-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,04-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,05-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,06-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,07-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,08-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,09-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,10-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,11-01-2020,Thailand,THA,,,,,,,,,,,['THA']
THA_STAT,12-01-2020,Thailand,THA,Songkhla,,,,,,,,,,['THA.64_1']
THA_STAT,12-01-2020,Thailand,THA,Yasothon,,,,,,,,,,['THA.77_1']
THA_STAT,12-01-2020,Thailand,THA,Yala,,,,,,,,,,['THA.76_1']
THA_STAT,12-01-2020,Thailand,THA,Uttaradit,,,,,,,,,,['THA.75_1']
THA_STAT,12-01-2020,Thailand,THA,Phetchaburi,,,,,,,,,,['THA.43_1']
THA_STAT,12-01-2020,Thailand,THA,Nakhon Si Thammarat,,,,,,,,,,['THA.31_1']
THA_STAT,12-01-2020,Thailand,THA,Chachoengsao,,,,,,,,,,['THA.6_1']
THA_STAT,12-01-2020,Thailand,THA,Si Sa Ket,,,,,,,,,,['THA.62_1']
THA_STAT,12-01-2020,Thailand,THA,Satun,,,,,,,,,,['THA.61_1']
THA_STAT,12-01-2020,Thailand,THA,Saraburi,,,,,,,,,,['THA.60_1']
THA_STAT,12-01-2020,Thailand,THA,Samut Songkhram,,,,,,,,,,['THA.59_1']
THA_STAT,12-01-2020,Thailand,THA,Samut Sakhon,,,,,,,,,,['THA.58_1']
