source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
TUR_MHOE,27-06-2020,Turkey,TUR,,,,3231835,195883,169182,5082,,984,,['TUR']
TUR_MHOE,26-06-2020,Turkey,TUR,,,,3186622,194511,167198,5065,,963,,['TUR']
TUR_MHOE,25-06-2020,Turkey,TUR,,,,3135424,193115,165706,5046,,941,,['TUR']
TUR_MHOE,24-06-2020,Turkey,TUR,,,,3083121,191657,164234,5025,,914,,['TUR']
TUR_MHOE,23-06-2020,Turkey,TUR,,,,3029635,190165,162848,5001,,893,,['TUR']
TUR_MHOE,22-06-2020,Turkey,TUR,,,,2986653,188897,161533,4974,,846,,['TUR']
TUR_MHOE,21-06-2020,Turkey,TUR,,,,2945240,187685,160240,4950,,803,,['TUR']
TUR_MHOE,20-06-2020,Turkey,TUR,,,,2904744,186493,158828,4927,,781,,['TUR']
TUR_MHOE,19-06-2020,Turkey,TUR,,,,2863632,185245,157516,4905,,769,,['TUR']
TUR_MHOE,18-06-2020,Turkey,TUR,,,,2822316,184031,156022,4882,,755,,['TUR']
TUR_MHOE,17-06-2020,Turkey,TUR,,,,2773904,182727,154640,4861,,745,,['TUR']
TUR_MHOE,16-06-2020,Turkey,TUR,,,,2721004,181298,153379,4842,,732,,['TUR']
TUR_MHOE,15-06-2020,Turkey,TUR,,,,2674203,179831,152364,4825,,722,,['TUR']
TUR_MHOE,14-06-2020,Turkey,TUR,,,,2632171,178239,151417,4807,,717,,['TUR']
TUR_MHOE,13-06-2020,Turkey,TUR,,,,2586995,176677,150087,4792,,684,,['TUR']
TUR_MHOE,12-06-2020,Turkey,TUR,,,,2541903,175218,149102,4778,,664,,['TUR']
TUR_MHOE,11-06-2020,Turkey,TUR,,,,2500890,174023,147860,4763,,643,,['TUR']
TUR_MHOE,10-06-2020,Turkey,TUR,,,,2451700,173036,146839,4746,,631,,['TUR']
TUR_MHOE,09-06-2020,Turkey,TUR,,,,2415179,172114,144598,4729,,642,,['TUR']
TUR_MHOE,08-06-2020,Turkey,TUR,,,,2377954,171121,141380,4711,,625,,['TUR']
TUR_MHOE,07-06-2020,Turkey,TUR,,,,2338593,170132,137969,4692,,613,,['TUR']
TUR_MHOE,06-06-2020,Turkey,TUR,,,,2303258,169218,135322,4669,,591,,['TUR']
TUR_MHOE,05-06-2020,Turkey,TUR,,,,2267412,168340,133400,4648,,592,,['TUR']
TUR_MHOE,04-06-2020,Turkey,TUR,,,,2209583,167410,131778,4630,,602,,['TUR']
TUR_MHOE,03-06-2020,Turkey,TUR,,,,2155349,166422,130852,4609,,612,,['TUR']
TUR_MHOE,02-06-2020,Turkey,TUR,,,,2103044,165555,129921,4585,,633,,['TUR']
TUR_MHOE,01-06-2020,Turkey,TUR,,,,2070719,164769,128947,4563,,651,,['TUR']
TUR_MHOE,31-05-2020,Turkey,TUR,,,,2039194,163942,127973,4540,,648,,['TUR']
TUR_MHOE,30-05-2020,Turkey,TUR,,,,2003594,163103,126984,4515,,649,,['TUR']
TUR_MHOE,29-05-2020,Turkey,TUR,,,,1964364,162120,125963,4489,,662,,['TUR']
TUR_MHOE,28-05-2020,Turkey,TUR,,,,1928209,160979,124369,4461,,683,,['TUR']
