source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
TUR_XXX,11-03-2020,Turkey,TUR,,,,,1,,,,,,['TUR']
TUR_XXX,12-03-2020,Turkey,TUR,,,,,1,,,,,,['TUR']
TUR_XXX,13-03-2020,Turkey,TUR,,,,,5,,,,,,['TUR']
TUR_XXX,14-03-2020,Turkey,TUR,,,,,6,,,,,,['TUR']
TUR_XXX,15-03-2020,Turkey,TUR,,,,,18,,1,,,,['TUR']
TUR_XXX,16-03-2020,Turkey,TUR,,,,,47,,1,,,,['TUR']
TUR_XXX,17-03-2020,Turkey,TUR,,,,8002,98,,2,,,,['TUR']
TUR_XXX,18-03-2020,Turkey,TUR,,,,10017,191,,3,,,,['TUR']
TUR_XXX,19-03-2020,Turkey,TUR,,,,11998,359,,4,,,,['TUR']
TUR_XXX,20-03-2020,Turkey,TUR,,,,15624,670,,9,,,,['TUR']
TUR_XXX,21-03-2020,Turkey,TUR,,,,18604,947,,21,,,,['TUR']
TUR_XXX,22-03-2020,Turkey,TUR,,,,20345,1236,,30,,,,['TUR']
TUR_XXX,23-03-2020,Turkey,TUR,,,,24017,1529,,37,,,,['TUR']
TUR_XXX,24-03-2020,Turkey,TUR,,,,27969,1872,26,44,,136,,['TUR']
TUR_XXX,25-03-2020,Turkey,TUR,,,,33004,2433,,59,,,,['TUR']
TUR_XXX,26-03-2020,Turkey,TUR,,,,40290,3629,,75,,,,['TUR']
TUR_XXX,27-03-2020,Turkey,TUR,,,,47823,5698,42,92,,344,,['TUR']
TUR_XXX,28-03-2020,Turkey,TUR,,,,55464,7402,70,108,,445,,['TUR']
TUR_XXX,29-03-2020,Turkey,TUR,,,,65446,9217,105,131,,568,,['TUR']
TUR_XXX,30-03-2020,Turkey,TUR,,,,76981,10827,162,168,,725,,['TUR']
TUR_XXX,31-03-2020,Turkey,TUR,,,,92403,13531,243,214,,847,,['TUR']
TUR_XXX,01-04-2020,Turkey,TUR,,,,106799,15679,333,277,,979,,['TUR']
TUR_XXX,02-04-2020,Turkey,TUR,,,,125556,18315,415,356,,1101,,['TUR']
TUR_XXX,03-04-2020,Turkey,TUR,,,,141716,20921,484,425,,1251,,['TUR']
TUR_XXX,04-04-2020,Turkey,TUR,,,,161380,23934,786,501,,1311,,['TUR']
TUR_XXX,05-04-2020,Turkey,TUR,,,,181446,27069,1042,574,,1381,,['TUR']
TUR_XXX,06-04-2020,Turkey,TUR,,,,202845,30217,1326,649,,1415,,['TUR']
TUR_XXX,07-04-2020,Turkey,TUR,,,,222868,34109,1582,725,,1474,,['TUR']
TUR_XXX,08-04-2020,Turkey,TUR,,,,247768,38226,1846,812,,1492,,['TUR']
TUR_XXX,09-04-2020,Turkey,TUR,,,,276346,42282,2142,908,,1552,,['TUR']
TUR_XXX,10-04-2020,Turkey,TUR,,,,307210,47029,2423,1006,,1667,,['TUR']
TUR_XXX,11-04-2020,Turkey,TUR,,,,340380,52167,2965,1101,,1626,,['TUR']
TUR_XXX,12-04-2020,Turkey,TUR,,,,376100,56956,3446,1198,,1665,,['TUR']
TUR_XXX,13-04-2020,Turkey,TUR,,,,410556,61049,3957,1296,,1786,,['TUR']
TUR_XXX,14-04-2020,Turkey,TUR,,,,443626,65111,4799,1403,,1809,,['TUR']
TUR_XXX,15-04-2020,Turkey,TUR,,,,477716,69392,5674,1518,,1820,,['TUR']
TUR_XXX,16-04-2020,Turkey,TUR,,,,518143,74193,7089,1643,,1854,,['TUR']
TUR_XXX,17-04-2020,Turkey,TUR,,,,558413,78546,8631,1769,,1845,,['TUR']
TUR_XXX,18-04-2020,Turkey,TUR,,,,598933,82329,10453,1890,,1894,,['TUR']
TUR_XXX,19-04-2020,Turkey,TUR,,,,634277,86306,11976,2017,,1922,,['TUR']
TUR_XXX,20-04-2020,Turkey,TUR,,,,673980,90980,13430,2140,,1909,,['TUR']
TUR_XXX,21-04-2020,Turkey,TUR,,,,713409,95591,14918,2259,,1865,,['TUR']
TUR_XXX,22-04-2020,Turkey,TUR,,,,750944,98674,16477,2376,,1814,,['TUR']
TUR_XXX,23-04-2020,Turkey,TUR,,,,791906,101790,18491,2491,,1816,,['TUR']
TUR_XXX,24-04-2020,Turkey,TUR,,,,830257,104912,21737,2600,,1790,,['TUR']
TUR_XXX,25-04-2020,Turkey,TUR,,,,868565,107773,25582,2706,,1782,,['TUR']
TUR_XXX,26-04-2020,Turkey,TUR,,,,898742,110130,29140,2805,,1776,,['TUR']
TUR_XXX,27-04-2020,Turkey,TUR,,,,918885,112261,33791,2900,,1736,,['TUR']
TUR_XXX,28-04-2020,Turkey,TUR,,,,948115,114653,38809,2992,,1621,,['TUR']
TUR_XXX,29-04-2020,Turkey,TUR,,,,991613,117589,44040,3081,,1574,,['TUR']
TUR_XXX,30-04-2020,Turkey,TUR,,,,1033617,120204,48886,3174,,1514,,['TUR']
TUR_XXX,01-05-2020,Turkey,TUR,,,,1075048,122392,53808,3258,,1480,,['TUR']
TUR_XXX,02-05-2020,Turkey,TUR,,,,1111366,124375,58259,3336,,1445,,['TUR']
TUR_XXX,03-05-2020,Turkey,TUR,,,,1135367,126045,63151,3397,,1424,,['TUR']
TUR_XXX,04-05-2020,Turkey,TUR,,,,1171138,127659,68166,3461,,1384,,['TUR']
TUR_XXX,05-05-2020,Turkey,TUR,,,,1204421,129491,73285,3520,,1338,,['TUR']
TUR_XXX,06-05-2020,Turkey,TUR,,,,1234724,131744,78202,3584,,1278,,['TUR']
TUR_XXX,07-05-2020,Turkey,TUR,,,,1265119,133721,82984,3641,,1260,,['TUR']
TUR_XXX,08-05-2020,Turkey,TUR,,,,1298806,135569,86396,3689,,1219,,['TUR']
TUR_XXX,09-05-2020,Turkey,TUR,,,,1334411,137115,89480,3739,,1168,,['TUR']
TUR_XXX,10-05-2020,Turkey,TUR,,,,1370598,138657,92691,3786,,1154,,['TUR']
TUR_XXX,11-05-2020,Turkey,TUR,,,,1403320,139771,95780,3841,,1126,,['TUR']
TUR_XXX,12-05-2020,Turkey,TUR,,,,1440671,141475,98889,3894,,1045,,['TUR']
TUR_XXX,13-05-2020,Turkey,TUR,,,,1474003,143114,101715,3952,,998,,['TUR']
TUR_XXX,14-05-2020,Turkey,TUR,,,,1508824,144749,104030,4007,,963,,['TUR']
TUR_XXX,15-05-2020,Turkey,TUR,,,,1547389,146457,106133,4055,,944,,['TUR']
TUR_XXX,16-05-2020,Turkey,TUR,,,,1589625,148067,108137,4096,,906,,['TUR']
TUR_XXX,17-05-2020,Turkey,TUR,,,,1624994,149435,109962,4140,,914,,['TUR']
TUR_XXX,18-05-2020,Turkey,TUR,,,,1650135,150593,111577,4171,,903,,['TUR']
TUR_XXX,19-05-2020,Turkey,TUR,,,,1675517,151615,112895,4199,,882,,['TUR']
TUR_XXX,20-05-2020,Turkey,TUR,,,,1696355,152587,113987,4222,,877,,['TUR']
TUR_XXX,21-05-2020,Turkey,TUR,,,,1729988,153548,114990,4249,,820,,['TUR']
TUR_XXX,22-05-2020,Turkey,TUR,,,,1767495,154500,116111,4276,,800,,['TUR']
TUR_XXX,23-05-2020,Turkey,TUR,,,,1807673,155686,117602,4308,,775,,['TUR']
