source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
WRD_ECDC_WEEKLY,08-02-2021,Bolivia,BOL,,,,,227967,,10796,,,,['BOL']
WRD_ECDC_WEEKLY,08-02-2021,Belize,BLZ,,,,,12070,,307,,,,['BLZ']
WRD_ECDC_WEEKLY,08-02-2021,Belarus,BLR,,,,,231154,,1792,,,,['BLR']
WRD_ECDC_WEEKLY,08-02-2021,Mauritania,MRT,,,,,16777,,425,,,,['MRT']
WRD_ECDC_WEEKLY,08-02-2021,Bosnia and Herzegovina,BIH,,,,,123944,,4800,,,,['BIH']
WRD_ECDC_WEEKLY,08-02-2021,Bahamas,BHS,,,,,8289,,176,,,,['BHS']
WRD_ECDC_WEEKLY,08-02-2021,Bahrain,BHR,,,,,106948,,381,,,,['BHR']
WRD_ECDC_WEEKLY,08-02-2021,Bulgaria,BGR,,,,,223734,,9331,,,,['BGR']
WRD_ECDC_WEEKLY,08-02-2021,Bangladesh,BGD,,,,,538062,,8205,,,,['BGD']
WRD_ECDC_WEEKLY,08-02-2021,Montserrat,MSR,,,,,17,,1,,,,['MSR']
WRD_ECDC_WEEKLY,08-02-2021,Mauritius,MUS,,,,,593,,10,,,,['MUS']
WRD_ECDC_WEEKLY,08-02-2021,Burkina Faso,BFA,,,,,11285,,134,,,,['BFA']
WRD_ECDC_WEEKLY,08-02-2021,"Bonaire, Sint Eustatius and Saba",BES,,,,,394,,3,,,,['BES']
WRD_ECDC_WEEKLY,08-02-2021,Benin,BEN,,,,,4193,,55,,,,['BEN']
WRD_ECDC_WEEKLY,08-02-2021,Belgium,BEL,,,,,727148,,21441,,,,['BEL']
WRD_ECDC_WEEKLY,08-02-2021,Burundi,BDI,,,,,1728,,3,,,,['BDI']
WRD_ECDC_WEEKLY,08-02-2021,Azerbaijan,AZE,,,,,231154,,3158,,,,['AZE']
WRD_ECDC_WEEKLY,08-02-2021,Malawi,MWI,,,,,27422,,874,,,,['MWI']
WRD_ECDC_WEEKLY,08-02-2021,Austria,AUT,,,,,421452,,7940,,,,['AUT']
WRD_ECDC_WEEKLY,08-02-2021,Australia,AUS,,,,,28850,,909,,,,['AUS']
WRD_ECDC_WEEKLY,08-02-2021,Antigua and Barbuda,ATG,,,,,316,,7,,,,['ATG']
WRD_ECDC_WEEKLY,08-02-2021,Malaysia,MYS,,,,,242452,,872,,,,['MYS']
WRD_ECDC_WEEKLY,08-02-2021,Armenia,ARM,,,,,168177,,3123,,,,['ARM']
WRD_ECDC_WEEKLY,08-02-2021,Argentina,ARG,,,,,1985501,,49398,,,,['ARG']
WRD_ECDC_WEEKLY,08-02-2021,United Arab Emirates,ARE,,,,,326495,,921,,,,['ARE']
WRD_ECDC_WEEKLY,08-02-2021,Andorra,AND,,,,,10251,,106,,,,['AND']
WRD_ECDC_WEEKLY,08-02-2021,Namibia,NAM,,,,,34168,,353,,,,['NAM']
WRD_ECDC_WEEKLY,08-02-2021,Afghanistan,AFG,,,,,55359,,2413,,,,['AFG']
WRD_ECDC_WEEKLY,08-02-2021,Aruba,ABW,,,,,7238,,64,,,,['ABW']
WRD_ECDC_WEEKLY,08-02-2021,New Caledonia,NCL,,,,,47,,0,,,,['NCL']
WRD_ECDC_WEEKLY,08-02-2021,Angola,AGO,,,,,20086,,475,,,,['AGO']
WRD_ECDC_WEEKLY,08-02-2021,Haiti,HTI,,,,,11969,,246,,,,['HTI']
WRD_ECDC_WEEKLY,08-02-2021,Falkland Islands,FLK,,,,,48,,0,,,,['FLK']
WRD_ECDC_WEEKLY,08-02-2021,Fiji,FJI,,,,,56,,2,,,,['FJI']
WRD_ECDC_WEEKLY,08-02-2021,Finland,FIN,,,,,47969,,701,,,,['FIN']
WRD_ECDC_WEEKLY,08-02-2021,Ethiopia,ETH,,,,,142338,,2148,,,,['ETH']
WRD_ECDC_WEEKLY,08-02-2021,Estonia,EST,,,,,48267,,466,,,,['EST']
