source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
WRD_WHOJHU,22-01-2020,Turkey,TUR,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bangladesh,BGD,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Heilongjiang,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Spain,ESP,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guangxi,,,,2,,,,,,
WRD_WHOJHU,22-01-2020,Madagascar,MDG,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Mauritania,MRT,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Vietnam,VNM,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Botswana,BWA,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,El Salvador,SLV,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,United Kingdom,GBR,Channel Islands,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guangdong,,,,26,,,,,,
WRD_WHOJHU,22-01-2020,Burundi,BDI,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Hainan,,,,4,,,,,,
WRD_WHOJHU,22-01-2020,Germany,DEU,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ukraine,UKR,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guyana,GUY,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Guatemala,GTM,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Greece,GRC,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Comoros,COM,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Laos,LAO,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Lebanon,LBN,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Seychelles,SYC,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kyrgyzstan,KGZ,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Shanxi,,,,1,,,,,,
WRD_WHOJHU,22-01-2020,"Korea, South",KOR,,,,,1,,,,,,
WRD_WHOJHU,22-01-2020,Romania,ROU,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,France,FRA,Mayotte,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Guizhou,,,,1,,,,,,
WRD_WHOJHU,22-01-2020,Czechia,CZE,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Saint Vincent and the Grenadines,VCT,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Slovenia,SVN,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Gansu,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Colombia,COL,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Kenya,KEN,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,China,CHN,Qinghai,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Bolivia,BOL,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Ecuador,ECU,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sweden,SWE,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Jordan,JOR,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Pakistan,PAK,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,Sierra Leone,SLE,,,,,,,,,,,
WRD_WHOJHU,22-01-2020,West Bank and Gaza,,,,,,,,,,,,
