source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined,gid
ZAF_DSFSI,11-02-2020,South Africa,ZAF,,,,61,,,,,,,['ZAF']
ZAF_DSFSI,13-02-2020,South Africa,ZAF,,,,67,,,,,,,['ZAF']
ZAF_DSFSI,14-02-2020,South Africa,ZAF,,,,71,,,,,,,['ZAF']
ZAF_DSFSI,19-02-2020,South Africa,ZAF,,,,95,,,,,,,['ZAF']
ZAF_DSFSI,20-02-2020,South Africa,ZAF,,,,106,,,,,,,['ZAF']
ZAF_DSFSI,24-02-2020,South Africa,ZAF,,,,116,,,,,,,['ZAF']
ZAF_DSFSI,26-02-2020,South Africa,ZAF,,,,121,,,,,,,['ZAF']
ZAF_DSFSI,02-03-2020,South Africa,ZAF,,,,160,,,,,,,['ZAF']
ZAF_DSFSI,03-03-2020,South Africa,ZAF,,,,164,,,,,,,['ZAF']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Northern Cape,,,,,,,,,,['ZAF.8_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,North West,,,,,,,,,,['ZAF.7_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,UNKNOWN,,,,,,,,,,
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Gauteng,,,,,,,,,,['ZAF.3_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Western Cape,,,,,,,,,,['ZAF.9_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,KwaZulu-Natal,,,,1,,,,,,['ZAF.4_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Eastern Cape,,,,,,,,,,['ZAF.1_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Free State,,,,,,,,,,['ZAF.2_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Limpopo,,,,,,,,,,['ZAF.5_1']
ZAF_DSFSI,05-03-2020,South Africa,ZAF,Mpumalanga,,,,,,,,,,['ZAF.6_1']
ZAF_DSFSI,06-03-2020,South Africa,ZAF,,,,200,,,,,,,['ZAF']
ZAF_DSFSI,07-03-2020,South Africa,ZAF,Northern Cape,,,,,,,,,,['ZAF.8_1']
