source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined
POL_WIKI,19-02-2020,Poland,POL,,,,13,,,,,,
POL_WIKI,27-02-2020,Poland,POL,,,,55,,,,,,
POL_WIKI,28-02-2020,Poland,POL,,,,146,,,,,,
POL_WIKI,29-02-2020,Poland,POL,,,,,,,,,,307
POL_WIKI,01-03-2020,Poland,POL,,,,,,,,,,
POL_WIKI,02-03-2020,Poland,POL,,,,237,,,,,,
POL_WIKI,03-03-2020,Poland,POL,,,,316,,,,,,559
POL_WIKI,04-03-2020,Poland,POL,,,,349,1,,,,,584
POL_WIKI,04-03-2020,Poland,POL,Lubusz (LB),,,,1,,,,,
POL_WIKI,05-03-2020,Poland,POL,,,,490,1,,,,,676
POL_WIKI,06-03-2020,Poland,POL,,,,1299,5,,,,,855
POL_WIKI,06-03-2020,Poland,POL,Lower Silesia (DS),,,,1,,,,,
POL_WIKI,06-03-2020,Poland,POL,Warmia–Masuria (WN),,,,1,,,,,
POL_WIKI,06-03-2020,Poland,POL,West Pomerania (ZP),,,,2,,,,,
POL_WIKI,07-03-2020,Poland,POL,,,,1548,6,,,,,
POL_WIKI,07-03-2020,Poland,POL,Warmia–Masuria (WN),,,,2,,,,,
POL_WIKI,08-03-2020,Poland,POL,Masovia (MZ; Warsaw),,,,2,,,,,
POL_WIKI,08-03-2020,Poland,POL,Silesia (SL),,,,2,,,,,
POL_WIKI,08-03-2020,Poland,POL,,,,932,11,,,,,1154
POL_WIKI,08-03-2020,Poland,POL,Lower Silesia (DS),,,,2,,,,,
POL_WIKI,09-03-2020,Poland,POL,,,,1014,17,,,,,1384
POL_WIKI,09-03-2020,Poland,POL,Silesia (SL),,,,5,,,,,
POL_WIKI,09-03-2020,Poland,POL,Greater Poland (WP),,,,1,,,,,
POL_WIKI,09-03-2020,Poland,POL,Lower Silesia (DS),,,,3,,,,,
POL_WIKI,09-03-2020,Poland,POL,Lesser Poland (MA),,,,1,,,,,
POL_WIKI,10-03-2020,Poland,POL,,,,1055,22,,,,,1630
POL_WIKI,10-03-2020,Poland,POL,Lower Silesia (DS),,,,4,,,,,
POL_WIKI,10-03-2020,Poland,POL,Lublin (LU),,,,1,,,,,
POL_WIKI,10-03-2020,Poland,POL,Masovia (MZ; Warsaw),,,,3,,,,,
POL_WIKI,10-03-2020,Poland,POL,Silesia (SL),,,,7,,,,,
POL_WIKI,11-03-2020,Poland,POL,Opole (OP),,,,1,,,,,
POL_WIKI,11-03-2020,Poland,POL,Lublin (LU),,,,2,,,,,
