source,date,gid,country,countrycode,adm_area_1,adm_area_2,adm_area_3,c1_school_closing,c1_flag,c2_workplace_closing,c2_flag,c3_cancel_public_events,c3_flag,c4_restrictions_on_gatherings,c4_flag,c5_close_public_transport,c5_flag,c6_stay_at_home_requirements,c6_flag,c7_restrictions_on_internal_movement,c7_flag,c8_international_travel_controls,e1_income_support,e1_flag,e2_debtcontract_relief,e3_fiscal_measures,e4_international_support,h1_public_information_campaigns,h1_flag,h2_testing_policy,h3_contact_tracing,h4_emergency_investment_in_healthcare,h5_investment_in_vaccines,m1_wildcard,stringency_index,stringency_indexfordisplay,stringency_legacy_index,stringency_legacy_indexfordisplay,government_response_index,government_response_index_for_display,containment_health_index,containment_health_index_for_display,economic_support_index,economic_support_index_for_display
GOVTRACK,01-01-2020,AFG,Afghanistan,AFG,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,ALB,Albania,ALB,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,DZA,Algeria,DZA,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,AND,Andorra,AND,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,AGO,Angola,AGO,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,ARG,Argentina,ARG,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,ABW,Aruba,ABW,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,AUS,Australia,AUS,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,AUT,Austria,AUT,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,AZE,Azerbaijan,AZE,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BHR,Bahrain,BHR,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BGD,Bangladesh,BGD,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BRB,Barbados,BRB,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BLR,Belarus,BLR,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BEL,Belgium,BEL,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BLZ,Belize,BLZ,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BEN,Benin,BEN,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BMU,Bermuda,BMU,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BTN,Bhutan,BTN,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BOL,"Bolivia, Plurinational State of",BOL,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BIH,Bosnia and Herzegovina,BIH,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BWA,Botswana,BWA,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,1,1,0,0,0.0,0.0,,5.56,5.56,9.52,9.52,3.85,3.85,4.55,4.55,0.0,0.0
GOVTRACK,01-01-2020,BRA,Brazil,BRA,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BRN,Brunei Darussalam,BRN,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,3.85,3.85,4.55,4.55,0.0,0.0
GOVTRACK,01-01-2020,BGR,Bulgaria,BGR,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BFA,Burkina Faso,BFA,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,BDI,Burundi,BDI,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,KHM,Cambodia,KHM,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,CMR,Cameroon,CMR,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,CAN,Canada,CAN,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,3.85,3.85,4.55,4.55,0.0,0.0
GOVTRACK,01-01-2020,CPV,Cape Verde,CPV,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVTRACK,01-01-2020,CAF,Central African Republic,CAF,,,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.0,0.0,0,,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
