source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined
ITA_PCDM,24-02-2020,Italy,ITA,Lazio,,,124,2,1,,1,1,
ITA_PCDM,24-02-2020,Italy,ITA,Friuli V.G.,,,58,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Emilia Romagna,,,148,8,,,10,2,6
ITA_PCDM,24-02-2020,Italy,ITA,Campania,,,10,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Abruzzo,,,5,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Calabria,,,1,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Bolzano,,,1,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Valle d'Aosta,,,7,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Veneto,,,2200,21,,1,12,4,16
ITA_PCDM,24-02-2020,Italy,ITA,Toscana,,,140,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Trento,,,3,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Sicilia,,,5,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Lombardia,,,1463,96,,6,76,19,71
ITA_PCDM,24-02-2020,Italy,ITA,Umbria,,,,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Sardegna,,,1,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Liguria,,,1,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Molise,,,,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Marche,,,16,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Basilicata,,,,,,,,,
ITA_PCDM,24-02-2020,Italy,ITA,Piemonte,,,141,1,,,2,,1
ITA_PCDM,24-02-2020,Italy,ITA,Puglia,,,,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Valle d'Aosta,,,7,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Abruzzo,,,5,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Campania,,,10,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Basilicata,,,,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Bolzano,,,1,,,,1,,
ITA_PCDM,25-02-2020,Italy,ITA,Calabria,,,2,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Emilia Romagna,,,391,11,,,15,2,9
ITA_PCDM,25-02-2020,Italy,ITA,Friuli V.G.,,,89,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Lazio,,,124,2,1,,1,1,
ITA_PCDM,25-02-2020,Italy,ITA,Liguria,,,39,,,,1,,
ITA_PCDM,25-02-2020,Italy,ITA,Lombardia,,,3700,161,,9,79,25,127
ITA_PCDM,25-02-2020,Italy,ITA,Marche,,,21,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Molise,,,,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Piemonte,,,141,1,,,2,,1
ITA_PCDM,25-02-2020,Italy,ITA,Puglia,,,,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Sardegna,,,1,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Sicilia,,,5,2,,,1,,2
ITA_PCDM,25-02-2020,Italy,ITA,Toscana,,,296,,,,2,,
ITA_PCDM,25-02-2020,Italy,ITA,Trento,,,3,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Umbria,,,8,,,,,,
ITA_PCDM,25-02-2020,Italy,ITA,Veneto,,,3780,31,,1,12,7,23
ITA_PCDM,26-02-2020,Italy,ITA,Bolzano,,,1,,,,1,,
ITA_PCDM,26-02-2020,Italy,ITA,Calabria,,,3,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Campania,,,10,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Emilia Romagna,,,577,27,,1,20,3,23
ITA_PCDM,26-02-2020,Italy,ITA,Lazio,,,124,3,3,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Liguria,,,66,5,,,6,,5
ITA_PCDM,26-02-2020,Italy,ITA,Lombardia,,,3208,179,,9,79,25,145
ITA_PCDM,26-02-2020,Italy,ITA,Marche,,,28,,,,1,,
ITA_PCDM,26-02-2020,Italy,ITA,Molise,,,,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Piemonte,,,156,1,,,2,,1
ITA_PCDM,26-02-2020,Italy,ITA,Puglia,,,,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Sardegna,,,1,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Sicilia,,,5,2,,,1,,2
ITA_PCDM,26-02-2020,Italy,ITA,Toscana,,,363,,,,2,,
ITA_PCDM,26-02-2020,Italy,ITA,Trento,,,3,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Umbria,,,8,,,,,,
ITA_PCDM,26-02-2020,Italy,ITA,Valle d'Aosta,,,7,,,,,,
